"county","state","prop_higher_education"
"Harvey","KS","32.0"
"Haskell","KS","15.3"
"Hodgeman","KS","30.2"
"Jackson","KS","21.2"
"Jefferson","KS","24.6"
"Jewell","KS","19.7"
"Johnson","KS","56.3"
"Kearny","KS","19.2"
"Kingman","KS","22.2"
"Kiowa","KS","24.6"
"Labette","KS","22.3"
"Lane","KS","23.8"
"Leavenworth","KS","34.6"
"Lincoln","KS","24.7"
"Linn","KS","20.5"
"Logan","KS","20.4"
"Lyon","KS","26.7"
"Marion","KS","27.6"
"Marshall","KS","18.8"
"McPherson","KS","29.7"
"Meade","KS","22.4"
"Miami","KS","32.8"
"Mitchell","KS","25.9"
"Montgomery","KS","20.5"
"Morris","KS","25.3"
"Morton","KS","17.2"
"Nemaha","KS","28.1"
"Neosho","KS","20.5"
"Ness","KS","21.9"
"Norton","KS","23.3"
"Osage","KS","21.4"
"Osborne","KS","21.5"
"Ottawa","KS","21.2"
"Pawnee","KS","19.5"
"Phillips","KS","21.5"
"Pottawatomie","KS","36.7"
"Pratt","KS","32.1"
"Rawlins","KS","21.7"
"Reno","KS","20.7"
"Republic","KS","26.1"
"Rice","KS","22.5"
"Riley","KS","48.2"
"Rooks","KS","20.7"
"Rush","KS","20.4"
"Russell","KS","21.6"
"Saline","KS","27.8"
"Scott","KS","23.9"
"Sedgwick","KS","31.2"
"Seward","KS","11.3"
"Shawnee","KS","32.3"
"Sheridan","KS","22.8"
"Sherman","KS","21.4"
"Smith","KS","21.4"
"Stafford","KS","26.4"
