"county","state","prop_higher_education"
"Franklin","VT","27.3"
"Grand Isle","VT","42.4"
"Lamoille","VT","42.5"
"Orange","VT","34.2"
"Orleans","VT","27.3"
"Rutland","VT","32.1"
"Washington","VT","44.0"
"Windham","VT","40.9"
"Windsor","VT","40.2"
"Adams","WA","13.7"
"Asotin","WA","23.7"
"Benton","WA","32.1"
"Chelan","WA","28.6"
"Clallam","WA","30.0"
"Clark","WA","32.0"
"Columbia","WA","26.8"
"Cowlitz","WA","17.0"
"Douglas","WA","21.2"
"Ferry","WA","17.9"
"Franklin","WA","19.8"
"Garfield","WA","25.4"
"Grant","WA","18.1"
"Grays Harbor","WA","16.3"
"Island","WA","35.0"
"Jefferson","WA","42.7"
"King","WA","54.0"
"Kitsap","WA","35.0"
"Kittitas","WA","35.3"
"Klickitat","WA","31.1"
"Lewis","WA","19.0"
"Lincoln","WA","24.3"
"Mason","WA","18.7"
"Okanogan","WA","21.2"
"Pacific","WA","22.4"
"Pend Oreille","WA","22.1"
"Pierce","WA","28.4"
"San Juan","WA","51.3"
"Skagit","WA","28.6"
"Skamania","WA","25.9"
"Snohomish","WA","34.1"
"Spokane","WA","31.5"
"Stevens","WA","20.8"
"Thurston","WA","36.2"
"Wahkiakum","WA","21.3"
"Walla Walla","WA","28.4"
"Whatcom","WA","36.4"
"Whitman","WA","47.6"
"Yakima","WA","17.8"
"Adams","WI","15.1"
"Ashland","WI","19.1"
"Barron","WI","20.6"
"Bayfield","WI","33.5"
"Brown","WI","31.8"
"Buffalo","WI","19.6"
"Burnett","WI","21.5"
"Calumet","WI","30.2"
"Chippewa","WI","23.4"
"Clark","WI","13.0"
"Columbia","WI","23.7"
"Crawford","WI","17.7"
"Dane","WI","53.0"
"Dodge","WI","18.8"
"Door","WI","34.4"
"Douglas","WI","26.6"
"Dunn","WI","29.8"
"Eau Claire","WI","33.3"
"Florence","WI","20.6"
"Fond du Lac","WI","23.0"
"Forest","WI","15.0"
"Grant","WI","23.9"
"Green","WI","24.5"
"Green Lake","WI","21.6"
"Iowa","WI","26.5"
"Iron","WI","23.0"
"Jackson","WI","16.1"
"Jefferson","WI","27.5"
"Juneau","WI","15.5"
"Kenosha","WI","29.3"
"Kewaunee","WI","19.2"
"La Crosse","WI","35.2"
"Lafayette","WI","19.4"
"Langlade","WI","16.0"
"Lincoln","WI","18.7"
"Manitowoc","WI","22.0"
"Marathon","WI","26.6"
"Marinette","WI","17.7"
"Marquette","WI","13.7"
"Menominee","WI","18.4"
"Milwaukee","WI","32.4"
"Monroe","WI","20.7"
"Oconto","WI","17.1"
"Oneida","WI","26.8"
"Outagamie","WI","30.7"
"Ozaukee","WI","50.4"
"Pepin","WI","22.7"
"Pierce","WI","29.4"
"Polk","WI","22.3"
"Portage","WI","33.4"
"Price","WI","16.1"
"Racine","WI","26.8"
"Richland","WI","20.1"
"Rock","WI","24.2"
"Rusk","WI","16.5"
"Sauk","WI","24.9"
"Sawyer","WI","25.2"
"Shawano","WI","16.4"
"Sheboygan","WI","26.2"
"St. Croix","WI","36.9"
"Taylor","WI","16.5"
"Trempealeau","WI","20.4"
"Vernon","WI","23.5"
"Vilas","WI","28.4"
"Walworth","WI","30.3"
"Washburn","WI","23.0"
"Washington","WI","33.2"
"Waukesha","WI","46.9"
"Waupaca","WI","20.3"
"Waushara","WI","16.7"
"Winnebago","WI","29.3"
"Wood","WI","20.4"
"Barbour","WV","13.0"
"Berkeley","WV","23.4"
"Boone","WV","11.3"
"Braxton","WV","13.8"
"Brooke","WV","20.5"
"Cabell","WV","28.3"
"Calhoun","WV","10.2"
"Clay","WV","12.0"
"Doddridge","WV","13.1"
"Fayette","WV","16.4"
"Gilmer","WV","20.2"
"Grant","WV","11.4"
"Greenbrier","WV","19.0"
"Hampshire","WV","12.6"
"Hancock","WV","17.8"
"Hardy","WV","13.2"
"Harrison","WV","23.3"
"Jackson","WV","17.3"
"Jefferson","WV","31.1"
"Kanawha","WV","27.4"
"Lewis","WV","16.0"
"Lincoln","WV","7.8"
"Logan","WV","11.2"
"Marion","WV","24.0"
"Marshall","WV","19.4"
"Mason","WV","14.7"
"McDowell","WV","6.4"
"Mercer","WV","20.7"
"Mineral","WV","20.7"
"Mingo","WV","9.0"
"Monongalia","WV","46.4"
"Monroe","WV","14.9"
"Morgan","WV","19.5"
"Nicholas","WV","15.9"
"Ohio","WV","33.3"
"Pendleton","WV","16.5"
"Pleasants","WV","11.9"
"Pocahontas","WV","13.9"
"Preston","WV","16.8"
"Putnam","WV","26.7"
"Raleigh","WV","19.8"
"Randolph","WV","17.3"
"Ritchie","WV","9.6"
"Roane","WV","13.4"
"Summers","WV","17.2"
"Taylor","WV","16.0"
"Tucker","WV","20.6"
"Tyler","WV","15.3"
"Upshur","WV","16.3"
"Wayne","WV","17.2"
"Webster","WV","12.5"
"Wetzel","WV","14.5"
"Wirt","WV","14.1"
"Wood","WV","21.8"
"Wyoming","WV","11.6"
"Albany","WY","56.3"
"Big Horn","WY","19.8"
"Campbell","WY","20.5"
"Carbon","WY","20.1"
"Converse","WY","22.2"
"Crook","WY","24.3"
"Fremont","WY","24.7"
"Goshen","WY","23.6"
"Hot Springs","WY","24.7"
"Johnson","WY","36.0"
"Laramie","WY","30.2"
"Lincoln","WY","23.0"
"Natrona","WY","24.9"
"Niobrara","WY","21.0"
"Park","WY","33.0"
"Platte","WY","22.4"
"Sheridan","WY","31.2"
"Sublette","WY","26.6"
"Sweetwater","WY","19.4"
"Teton","WY","57.9"
"Uinta","WY","18.0"
"Washakie","WY","26.2"
"Weston","WY","18.4"
