"county","state","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance"
"Webster","MO",71684,4.7,59.5,36.5,15.4
"Worth","MO",61396,2.5,65.2,45.7,7.6
"Wright","MO",50859,4.5,51.8,46.9,16.8
"Adams","MS",50694,11.9,48.5,47.4,14.5
"Alcorn","MS",62211,7.1,58.7,41.2,12.6
"Amite","MS",47200,6.9,46.4,54.6,11.6
"Attala","MS",61517,7.4,53.9,48.8,9.2
"Benton","MS",52606,4,57.2,43.7,13.1
"Bolivar","MS",59170,6.7,42.3,52.8,15.7
"Calhoun","MS",50773,2.8,53.5,47.2,11.6
"Carroll","MS",60588,6.5,52.3,51.7,7.5
"Chickasaw","MS",51630,2.3,55.7,45.1,12.3
"Choctaw","MS",60136,9.7,54.3,46.8,10.1
"Claiborne","MS",48250,10.6,44.6,44.3,18.8
"Clarke","MS",58657,6.8,58.2,39.1,14.9
"Clay","MS",54132,9.5,54.8,41,11.3
"Coahoma","MS",49543,9.5,40.1,54.5,13
"Copiah","MS",69247,5.8,53.2,44.3,13.8
"Covington","MS",57279,6.1,61.7,40.3,10.2
"DeSoto","MS",87372,4.3,74.9,28,8.4
"Forrest","MS",64882,7,59.9,38.8,12.6
"Franklin","MS",55564,2.3,54.1,44.6,11.1
"George","MS",64240,11.4,57.4,37.7,14.1
"Greene","MS",65255,14.2,62.2,37.4,14.4
"Grenada","MS",60200,5.2,56.6,44.7,12.4
"Hancock","MS",79858,8,63.8,40.4,11.6
"Harrison","MS",69437,9.1,61.5,38.8,14.3
"Hinds","MS",63612,8.7,56.7,40.3,13.1
"Holmes","MS",40966,12.8,42.7,55.2,13.7
"Humphreys","MS",55909,13.7,36.2,57,14.9
"Issaquena","MS",38107,8.8,36.4,68.6,13.4
"Itawamba","MS",79443,2.8,62.7,38.1,10.6
"Jackson","MS",74479,8.9,65.3,34.3,13.3
"Jasper","MS",55311,4.3,54.2,47.1,12
"Jefferson","MS",43953,8.8,46.1,51.5,13.8
"Jefferson Davis","MS",51556,8.5,48.8,49.8,13.1
"Jones","MS",61558,3.6,59.6,41.9,11
"Kemper","MS",49807,12.1,58.1,46.1,14.2
"Lafayette","MS",82074,2.6,75.3,25.1,9.8
"Lamar","MS",88294,7.1,67,31.1,12.9
"Lauderdale","MS",62992,4.7,60.8,42.9,9.6
"Lawrence","MS",59705,12.5,54,45.2,15.1
"Leake","MS",55990,7.7,49.4,46.7,14.6
"Lee","MS",78811,5.2,66.8,31.8,11.6
"Leflore","MS",53131,11.9,40.2,50.1,16.1
"Lincoln","MS",59935,5.3,62.8,34.9,14.2
"Lowndes","MS",66775,8.1,62,36.3,11.8
"Madison","MS",109729,3.8,75.1,26.7,7.5
"Marion","MS",54223,9.1,53.5,45,14.4
"Marshall","MS",64357,5.9,53.9,45.3,12.7
"Monroe","MS",63359,6.3,59.2,41.1,9.5
"Montgomery","MS",54234,8.8,54.2,51.1,7.8
"Neshoba","MS",58369,9.2,54.3,48,12.3
"Newton","MS",63206,5.4,56.4,40.9,13.6
"Noxubee","MS",45423,10.3,42.6,50.6,16.4
"Oktibbeha","MS",61137,7.5,74.4,25.3,8.8
"Panola","MS",59709,7.5,52.7,44.9,13.8
"Pearl River","MS",68182,6.4,60.3,41.4,12.8
"Perry","MS",60063,9.6,46.6,53.3,14
"Pike","MS",49211,6.5,53.2,46.6,11.8
"Pontotoc","MS",65709,2.7,62.5,36.2,12.8
"Prentiss","MS",60567,4.1,63.4,37.9,8.5
"Quitman","MS",38927,15,35,56.1,16.6
"Rankin","MS",89654,4.4,73.3,29.5,9.3
"Scott","MS",59692,7.1,54.9,40.5,13.8
"Sharkey","MS",58382,8.8,40.7,47.5,18.3
"Simpson","MS",66067,6.8,54.2,43.8,14.5
"Smith","MS",60318,4.5,56.7,40.3,14.8
"Stone","MS",70631,7.4,58.8,40.4,13.7
"Sunflower","MS",50617,11.3,45.9,50,11.7
"Tallahatchie","MS",51496,13.2,43.5,50.7,14.3
"Tate","MS",69901,7,59.9,38.8,12.4
"Tippah","MS",57981,6.5,57.5,42.4,13
"Tishomingo","MS",54034,4.6,55.2,41.6,15.3
"Tunica","MS",46645,13.1,40.9,48.7,17.3
"Union","MS",68108,5.2,62.3,37.5,11.3
"Walthall","MS",54025,9.6,56.7,46.2,11.2
"Warren","MS",71292,6.6,61,40.5,12.4
"Washington","MS",55541,9.9,44.5,51.3,14.9
"Wayne","MS",58823,7.1,53.9,41.2,16.2
"Webster","MS",62682,7.6,58.5,40.3,12.7
"Wilkinson","MS",46263,6.7,52.5,48.8,9.9
"Winston","MS",64663,8,52.2,47.7,12.6
"Yalobusha","MS",54952,4.7,51.3,48.2,12.8
"Yazoo","MS",53510,9.2,48.8,47.3,13
"Beaverhead","MT",68713,2.5,66.7,44.6,6.7
"Big Horn","MT",63992,13.5,34.2,49.1,26.4
"Blaine","MT",60710,13.2,42.1,51.4,15.9
"Broadwater","MT",75566,8.3,69.7,39.2,10
"Carbon","MT",81701,4.6,68.3,45.4,7.1
"Carter","MT",59649,3,57.1,50.2,13
"Cascade","MT",73695,3.4,65.2,43.4,7.4
"Chouteau","MT",66020,5.3,53.3,50.3,6.9
"Custer","MT",75693,3.9,68.4,42.2,6.3
"Daniels","MT",67748,2.1,75.6,41.2,4.4
"Dawson","MT",71547,3.6,76.5,31.2,3.3
"Deer Lodge","MT",59444,4.4,56.2,52.7,7.7
"Fallon","MT",102480,0,72.7,33.2,8.2
"Fergus","MT",66583,2.2,61.5,43.5,12.5
"Flathead","MT",84557,3.4,65.7,40.1,9.1
"Gallatin","MT",104611,2.1,76.7,26.1,7.4
"Garfield","MT",76329,0,65.7,31.3,20.1
"Glacier","MT",58647,8,25.5,43.8,37
"Golden Valley","MT",59021,1.6,53.9,48.7,11.1
"Granite","MT",78794,3.7,62.6,48.5,7.1
"Hill","MT",66253,4.4,60.5,45.6,5.3
"Jefferson","MT",92497,3.3,72.4,41.4,6
"Judith Basin","MT",74560,3,63.3,47.6,6.8
"Lake","MT",72873,6.1,52.4,50.8,14
"Lewis and Clark","MT",87691,3.5,72.5,39,5
"Liberty","MT",76274,0,50.8,58,6.3
"Lincoln","MT",60483,7.3,51.3,56.5,10.3
"Madison","MT",72176,2.6,65.8,46.2,9.2
"McCone","MT",75722,2.3,63.8,40.4,9.5
"Meagher","MT",64486,1.2,57.1,52.4,4.5
"Mineral","MT",65761,5.2,57.1,57.3,8.6
"Missoula","MT",85169,4.7,72.7,34.3,6.4
"Musselshell","MT",69407,4.4,63.1,51.3,4.7
"Park","MT",80705,2.6,67.6,38.6,10.7
"Petroleum","MT",71143,3.1,80.2,37.8,3.9
"Phillips","MT",64119,5.2,63.1,45.9,9.4
"Pondera","MT",76335,6.7,58,50.4,7.9
"Powder River","MT",76511,0.9,64.1,42.9,9.9
"Powell","MT",63326,2.9,60.5,49.6,7
"Prairie","MT",65067,3.1,46,61.4,4.3
"Ravalli","MT",80721,5.2,60.9,47.8,10.1
"Richland","MT",75636,4.2,72.2,31,7.9
"Roosevelt","MT",58273,12.7,39.2,37.4,29.7
"Rosebud","MT",68208,6.4,53.5,37.5,19.8
"Sanders","MT",59979,5.3,50,59.6,11.3
"Sheridan","MT",89051,2.5,69.5,35.5,9.6
"Silver Bow","MT",68196,4.6,62.5,45.7,6.4
"Stillwater","MT",90890,3.4,73.4,40.8,5.1
"Sweet Grass","MT",75939,2.4,72.6,39.9,7.1
"Teton","MT",72571,2.1,63.2,47.9,9
"Toole","MT",78000,3,57.7,43.3,12.1
"Treasure","MT",69036,1.4,72.3,45.9,3.8
"Valley","MT",68359,4.2,66.4,45.4,9
"Wheatland","MT",54174,1.6,54.5,49.2,16
"Wibaux","MT",64646,0,74.9,32,8.2
"Yellowstone","MT",91222,3.9,69.7,38.6,6.1
"Alamance","NC",73206,5.1,66.3,35.7,10.5
"Alexander","NC",74719,4.8,64.4,39.3,9.7
"Alleghany","NC",60763,4.6,57.9,49.9,12.6
"Anson","NC",54977,7.3,55.9,48.1,10.9
"Ashe","NC",58846,5.1,66.6,42.4,11.4
"Avery","NC",69104,5.7,60.4,41.6,15.9
"Beaufort","NC",68762,6.7,60.5,44.5,12.3
"Bertie","NC",59138,7.2,56.4,48.3,11.6
"Bladen","NC",60434,6,57.2,51.4,10.7
"Brunswick","NC",84560,5.5,69.6,47.7,8.9
"Buncombe","NC",86019,3.4,66.4,34.8,11.3
"Burke","NC",66962,6.1,61.6,42.9,11.8
"Cabarrus","NC",98168,5.1,72.8,28.8,8.5
"Caldwell","NC",64038,5.8,58.8,43.1,11.3
"Camden","NC",78241,5.7,81.3,28.4,6
"Carteret","NC",80750,5.1,71.1,40.6,10.5
"Caswell","NC",64734,5.8,62.3,45,9
"Catawba","NC",76316,5.8,63.4,36.7,11.7
"Chatham","NC",113331,3.4,72.7,36.2,9.6
"Cherokee","NC",56643,4.6,54.3,51.3,15.7
"Chowan","NC",61113,5.7,63,50.4,7.6
"Clay","NC",71075,3.2,58.1,47.4,14.7
"Cleveland","NC",61805,7.1,58.9,43.2,11.4
"Columbus","NC",57038,5.3,51.2,47.6,14.5
"Craven","NC",74072,5.7,67.8,41.5,10.1
"Cumberland","NC",66081,8,63.5,41,10.7
"Currituck","NC",95025,2.5,72.6,30,12.7
"Dare","NC",94935,6.1,76.3,30.7,11.3
"Davidson","NC",69533,5.4,62,37.4,11.4
"Davie","NC",82268,4.9,67.1,36.8,11
"Duplin","NC",58884,7.2,54.5,43.1,16.4
"Durham","NC",93568,4.7,69.6,28.5,11.9
"Edgecombe","NC",57566,9.3,54.3,49.2,10.2
"Forsyth","NC",80797,5.3,66.1,35.3,10.7
"Franklin","NC",76659,6.5,64.7,38.1,10.4
"Gaston","NC",75999,5.3,64.4,36.3,10.4
"Gates","NC",64013,9.7,72,38.5,8.3
"Graham","NC",55524,5.9,57.2,46.2,16.3
"Granville","NC",78634,5.2,65.7,37.7,10
"Greene","NC",53961,6.9,54.1,43.3,17.2
"Guilford","NC",83479,5.5,67.9,33.4,9.3
"Halifax","NC",53197,8.5,51.9,49.2,12.1
"Harnett","NC",72269,6.1,66.2,34.9,10.9
"Haywood","NC",69259,3.5,64.1,42,12.2
"Henderson","NC",79066,3.8,65.8,40.9,12.6
"Hertford","NC",57878,8.5,56.9,49.6,9.7
"Hoke","NC",69242,7.5,63.6,38.4,11.9
"Hyde","NC",49419,6.8,52.6,42,19.5
"Iredell","NC",94543,4.8,70.8,31.7,9.4
"Jackson","NC",68743,6.8,63.3,36.8,15.2
"Johnston","NC",84608,4.3,66.5,33.3,11.9
"Jones","NC",57392,6.4,53.8,50.1,14.1
"Lee","NC",71816,5.2,60.9,39.2,13.4
"Lenoir","NC",57931,9.3,55.6,51,11.4
"Lincoln","NC",89139,4.5,68.7,34,9.6
"Macon","NC",66284,4.2,57.9,46.4,14.4
"Madison","NC",69965,2.7,64,41,9.6
"Martin","NC",57546,10.4,60.3,50.3,8.6
"McDowell","NC",66438,6.3,62,42.2,11.9
"Mecklenburg","NC",107685,4.6,70.6,25.7,11.6
"Mitchell","NC",65064,6.4,62.9,42.4,11.3
"Montgomery","NC",66666,3.4,53.6,46.3,13.3
"Moore","NC",93671,4.3,71.3,38.7,8.6
"Nash","NC",70716,7,63,40.4,11.5
"New Hanover","NC",90209,5,73.6,31.1,10.5
"Northampton","NC",57290,7.6,58.6,45.8,12.1
"Onslow","NC",68739,6.9,71.6,35.5,10.3
"Orange","NC",120580,4.4,80.7,23.8,6.4
"Pamlico","NC",71902,5.6,63,50.4,9.3
"Pasquotank","NC",72414,5.2,65.7,39,10.6
"Pender","NC",85665,7.2,69.8,37.2,9.6
"Perquimans","NC",66977,5.2,65.8,48.2,9.9
"Person","NC",72589,5.2,64,41.2,9.4
"Pitt","NC",71372,7.4,69.1,31.1,9.9
"Polk","NC",74243,3.8,66.7,45.5,10.4
"Randolph","NC",66148,4.6,56.7,40.6,13.3
"Richmond","NC",54136,8.9,52.7,49,10.5
"Robeson","NC",53888,6.7,46,48.2,14.6
"Rockingham","NC",63854,6.7,59.9,43.6,9.8
"Rowan","NC",70778,7.1,59.6,41.9,11.7
"Rutherford","NC",63243,6.1,58.6,46.1,12.9
"Sampson","NC",64315,6.7,52.6,44.8,14.7
"Scotland","NC",56645,11.3,49.4,49.7,12.8
"Stanly","NC",74046,4.7,64.6,38.5,11.8
"Stokes","NC",67465,5.4,65.1,40.8,11.1
"Surry","NC",68088,4.5,63.1,39.7,12.6
"Swain","NC",65756,7.7,48,42.1,21.2
"Transylvania","NC",74141,4.9,64.1,45.1,14.3
"Tyrrell","NC",51785,3.6,57.4,49,11.7
"Union","NC",118880,4.5,75.9,25.7,8.7
"Vance","NC",62444,6.5,55,48.9,10.7
"Wake","NC",116832,4.3,78.3,22.9,8.6
"Warren","NC",63313,9.1,57.6,53.2,10.1
"Washington","NC",47333,9.2,60.7,48.7,11.4
"Watauga","NC",70308,8.9,75.5,27.6,9
"Wayne","NC",68289,4.4,59.9,42.1,12.3
"Wilkes","NC",62504,5.8,59.1,43,12.6
"Wilson","NC",63403,8.2,57.3,43.5,12.6
"Yadkin","NC",68530,4.8,64.5,37.9,12.5
"Yancey","NC",63204,7.9,60.2,44.9,12.4
"Adams","ND",72215,0.8,78.2,31.7,9.4
"Barnes","ND",80873,3.4,78.9,31.8,5.9
"Benson","ND",68509,3.3,47.3,54.3,7.6
"Billings","ND",99860,2.4,81.6,33.3,5.6
"Bottineau","ND",93222,4,76.7,36.4,6.5
"Bowman","ND",90731,4,82,28.9,7.6
"Burke","ND",115281,2.5,86.7,22.9,5.1
"Burleigh","ND",97337,2.8,82.5,26.2,5.1
"Cass","ND",94139,3,82.1,23.1,6
"Cavalier","ND",105220,1.8,82.8,31,7.4
"Dickey","ND",80048,3.3,79.6,29.1,4.9
"Divide","ND",94936,3.7,72.2,37,8.2
"Dunn","ND",116737,2.4,67.6,28.7,19.6
"Eddy","ND",72044,1.7,70.1,42.9,7.5
"Emmons","ND",72504,1.3,78.6,37.4,6.6
"Foster","ND",86027,0.1,80.7,31.8,3.4
"Golden Valley","ND",95286,3.3,78.1,34.8,2.2
"Grand Forks","ND",78289,3.8,79.7,26.1,6.3
"Grant","ND",80596,2.2,74.8,41.4,5.1
"Griggs","ND",92616,2,82.4,32.5,4.1
"Hettinger","ND",74152,3.7,74.6,37.2,9.8
"Kidder","ND",65826,0.8,69.8,37.1,11.8
"LaMoure","ND",80127,1.5,81.9,34.6,5.2
"Logan","ND",69812,1,82.1,32.6,2.5
"McHenry","ND",85628,4.2,76.7,36.3,4.2
"McIntosh","ND",70719,0.6,74.5,42.3,6.8
"McKenzie","ND",113155,2.2,72.5,18.7,17.9
"McLean","ND",87022,1.6,80.5,32.7,4.7
"Mercer","ND",88305,3,75.6,29.4,12.7
"Morton","ND",90885,2.5,79.4,28.1,5.3
"Mountrail","ND",94920,3.8,66.2,27,17
"Nelson","ND",71427,1.1,79,33.6,7.3
"Oliver","ND",83605,3.7,81,33.9,6.3
"Pembina","ND",81738,3.9,76.9,35.1,6.8
"Pierce","ND",71211,0.8,80.1,33.2,6.1
"Ramsey","ND",74862,0.8,72.1,34.8,8.9
"Ransom","ND",81158,2.7,78.4,34.2,4.6
"Renville","ND",83833,2,77.5,29.6,5.2
"Richland","ND",81268,3,79.1,31.1,5.8
"Rolette","ND",66436,7.8,34.3,42.9,27.8
"Sargent","ND",89061,1.3,85.1,29.9,2.8
"Sheridan","ND",75226,0.6,71.7,40.1,9.5
"Sioux","ND",55104,18.4,30.7,41.4,33.2
"Slope","ND",83525,4.9,79.1,33.3,2.3
"Stark","ND",89684,2.7,79.6,22.4,9
"Steele","ND",89303,2.1,78.4,32.4,5.5
"Stutsman","ND",75745,4.7,75.6,30.9,8.1
"Towner","ND",70972,3.3,71.6,37.5,9.6
"Traill","ND",88114,2.1,77.5,29.8,6.4
"Walsh","ND",80735,2.4,79.3,32.3,6.7
"Ward","ND",89695,4.3,82.7,24.8,6.6
"Wells","ND",79911,1.4,80.9,36.8,5.7
"Williams","ND",105621,3.1,78.6,17.2,13.3
"Adams","NE",78031,2.4,73.6,34.8,5.8
"Antelope","NE",64799,2.8,75.6,34.7,6.8
"Arthur","NE",71701,0.4,67.6,48.5,8.7
"Banner","NE",83090,1.6,71.6,41.3,3.3
"Blaine","NE",67027,1.4,73.7,42.5,8.4
"Boone","NE",84843,0.9,77.9,32.1,5.5
"Box Butte","NE",68620,3.7,71.9,33.4,8.9
"Boyd","NE",69088,1.5,70,47.9,9
"Brown","NE",61069,0.6,68.3,41.4,10.4
"Buffalo","NE",81246,2.7,78,26.7,7.4
"Burt","NE",74824,4.2,65.7,37.1,10.6
"Butler","NE",84129,1.1,82.1,29.2,5.2
"Cass","NE",95650,2.8,77.4,28.4,7.4
"Cedar","NE",78483,2.2,79.7,30.7,5.5
"Chase","NE",77314,3.1,73.4,33.2,9.2
"Cherry","NE",72584,0.2,69.3,38.6,7.3
"Cheyenne","NE",67139,2.8,66.1,40,7.6
"Clay","NE",81539,3,75.2,32,7.9
"Colfax","NE",77817,1,74.2,22.6,11.2
"Cuming","NE",78349,3,76.3,28.3,8.3
"Custer","NE",77193,1.9,72.8,34.9,8.2
"Dakota","NE",78637,2.1,67.3,33.2,9.2
"Dawes","NE",62777,2.3,76.1,28.9,9.7
"Dawson","NE",74740,3.4,69.7,32.6,9.7
"Deuel","NE",72461,4.4,63.9,40.1,13.5
"Dixon","NE",78217,2.5,76.8,30,6.7
"Dodge","NE",74662,4.8,71.1,35.9,7.9
"Douglas","NE",97527,4.1,73.4,26.8,9.2
"Dundy","NE",69008,1,72.7,36.2,9.6
"Fillmore","NE",96007,1.1,78.6,33.5,5.4
"Franklin","NE",68946,1,66.4,44.7,6.7
"Frontier","NE",70004,5.1,72,37.9,8.3
"Furnas","NE",70569,1.3,76.6,35.9,7.9
"Gage","NE",70457,2.1,72,36.5,6.7
"Garden","NE",70686,3,63.3,43.1,13.4
"Garfield","NE",67063,0,79.9,34.1,4
"Gosper","NE",78875,1.8,71,36.7,7
"Grant","NE",68011,0.3,72.1,36,14.1
"Greeley","NE",62425,1.9,75.8,40.2,5.6
"Hall","NE",79345,3.2,68.9,31.9,11.9
"Hamilton","NE",85701,4.5,82.3,26.9,6.1
"Harlan","NE",79098,2.2,75.6,36.7,7
"Hayes","NE",61966,0.5,78.1,31.5,6.3
"Hitchcock","NE",66810,1.9,74,39.6,8.1
"Holt","NE",80269,1.2,75.1,35.6,6.8
"Hooker","NE",66472,1.8,72.7,37.6,5.3
"Howard","NE",71629,5.5,80.4,27.3,8
"Jefferson","NE",65608,1.7,71.9,36.5,9.7
"Johnson","NE",70785,2,76.7,33.1,6.1
"Kearney","NE",84537,1.7,78.3,30.3,5.5
"Keith","NE",71849,2.7,71.2,39.5,8.2
"Keya Paha","NE",83998,0,75.3,31.3,6
"Kimball","NE",62732,4.4,58.5,42.3,14.6
"Knox","NE",71058,4.1,73.8,39,5.8
"Lancaster","NE",87144,3.2,78,26.3,7
"Lincoln","NE",76173,3.5,72.7,33.6,8.9
"Logan","NE",69977,0.9,72.8,30.2,9.8
"Loup","NE",56416,0,68.9,37.3,6.5
"Madison","NE",77035,3.1,74.8,28.5,8.3
"McPherson","NE",71443,0,72.8,38.7,3.6
"Merrick","NE",69640,1.2,74.4,33.2,8.2
"Morrill","NE",65266,5.7,67.4,33.1,8.2
"Nance","NE",72973,4.2,80.7,32.1,4.9
"Nemaha","NE",71906,5.6,74.1,32.4,8.6
"Nuckolls","NE",81359,2,72.7,37.4,9.7
"Otoe","NE",82708,3.3,77.3,32.7,5.4
"Pawnee","NE",61471,3.1,66.9,39.4,13.2
"Perkins","NE",73118,1,78.3,35.2,5.5
"Phelps","NE",77018,0.7,78.6,31.5,6
"Pierce","NE",76784,2.9,81.3,27.2,6.6
"Platte","NE",78975,2,75.1,29,10.4
"Polk","NE",80707,2.7,71,32.6,10.5
"Red Willow","NE",74678,4.7,75.1,31.5,9.5
"Richardson","NE",65037,3.9,71.4,33.7,10.6
"Rock","NE",81955,1.3,70.2,33.7,10.1
"Saline","NE",74137,2.7,74.8,26.1,10.1
"Sarpy","NE",106653,2.8,83,22.9,5.4
"Saunders","NE",94622,2.4,82.5,26.9,4.7
"Scotts Bluff","NE",71316,3.5,66.4,34.5,9.9
"Seward","NE",86706,2.6,81.2,26,5.3
"Sheridan","NE",66599,1.6,61.7,43.3,12.9
"Sherman","NE",65553,3.4,78.2,36.2,8.1
"Sioux","NE",66775,3.1,60.6,40.6,11.7
"Stanton","NE",84727,1,80.6,28.7,4.9
"Thayer","NE",73014,2.7,73.8,37.9,6.1
"Thomas","NE",72610,0,70.6,38.3,4.6
"Thurston","NE",70093,11.3,50.6,39.5,18
"Valley","NE",74770,0.5,70.7,39.6,10
"Washington","NE",103243,2.3,81.3,26.9,4.8
"Wayne","NE",72491,2.6,85.9,23.2,3.4
"Webster","NE",75932,2.6,76.9,32.7,6
"Wheeler","NE",67938,0,69.5,39,10.3
"York","NE",89084,3.8,82,32.1,5.5
"Belknap","NH",94387,3.6,71.7,38.8,6.6
"Carroll","NH",96787,5.7,68,46.1,7.5
"Cheshire","NH",88359,3.6,73.2,34.9,6
"Coos","NH",69354,4.5,61.2,48.9,7.8
"Grafton","NH",102862,3,72.5,36.4,6.5
"Hillsborough","NH",111733,3.9,77.2,28.7,6.2
"Merrimack","NH",102383,3.6,76.4,32.4,5.7
"Rockingham","NH",127764,3.6,82.3,27.4,4.8
"Strafford","NH",98633,3.9,78.2,29.3,5.7
"Sullivan","NH",86514,2.9,66.7,40.5,7
"Atlantic","NJ",92839,8.6,65.1,40.5,7.9
"Bergen","NJ",150403,5.3,77.1,26.2,7
"Burlington","NJ",122850,5.3,80.3,29.7,4.2
"Camden","NJ",100716,7.1,69.4,36.3,6.3
"Cape May","NJ",104227,7,74.6,42.2,5.5
"Cumberland","NJ",84083,8.1,59.6,44.1,9.5
"Essex","NJ",112403,8.6,60.9,35.7,11.6
"Gloucester","NJ",114338,5.6,77.8,30.6,4.5
"Hudson","NJ",116135,5.7,61.5,32.5,12
"Hunterdon","NJ",160741,4.4,85.4,25.3,2.9
"Mercer","NJ",124665,6.3,73.5,31.9,6.9
"Middlesex","NJ",121899,6.1,75.8,27.4,6.8
"Monmouth","NJ",150011,5.6,80.8,27.5,5.2
"Morris","NJ",164869,5.3,84.2,23.1,4.7
"Ocean","NJ",102046,5.7,69.4,43.1,4.8
"Passaic","NJ",103836,7.4,57.3,38.2,12.4
"Salem","NJ",87640,7.6,70.8,40.2,4.5
"Somerset","NJ",166503,5.1,82,23.2,5.7
"Sussex","NJ",125729,5.4,82.6,27.9,3.6
"Union","NJ",126965,6.3,66.8,30.7,11.4
"Warren","NJ",103109,5.8,78,31.2,5.7
"Bernalillo","NM",78695,5.6,59.9,44.7,8.3
"Catron","NM",47055,7.1,41.4,76.8,10.2
"Chaves","NM",65324,5.4,46.7,54.8,10.3
"Cibola","NM",64401,8.5,36.5,64.4,11.4
"Colfax","NM",53985,4.4,51.5,66.6,6
"Curry","NM",65159,8.2,55.6,49.6,8.8
"De Baca","NM",49765,10.4,53.1,50,6.3
"Do\u00F1a Ana","NM",65405,7.4,48.3,52.6,10.6
"Eddy","NM",85725,4.3,61.9,39.9,10.1
"Grant","NM",59877,9.6,47.1,64.5,4.5
"Guadalupe","NM",71402,12.2,45,63.6,7.4
"Harding","NM",142117,9.5,68.4,40.9,9.3
"Hidalgo","NM",57121,5.9,51.7,55.9,7.5
"Lea","NM",80434,7.2,51.8,41.6,13.8
"Lincoln","NM",66430,6.3,52.5,58.4,12.2
"Los Alamos","NM",150770,3.1,89.7,24.2,3
"Luna","NM",46849,7.5,37.5,67.4,9.1
"McKinley","NM",56484,11,21.4,62.1,21.1
"Mora","NM",51182,13.1,47.2,69,3.3
"Otero","NM",61586,9.6,54.7,53.3,9
"Quay","NM",48637,4.3,46.5,63.5,8.4
"Rio Arriba","NM",63388,6.2,48.5,53.4,9.8
"Roosevelt","NM",61638,7.4,48.1,51.2,14.5
"San Juan","NM",64489,8.2,44.4,53.2,13.1
"San Miguel","NM",53784,7.2,48.7,64.3,5.4
"Sandoval","NM",86286,7,63.9,44,7.1
"Santa Fe","NM",91563,5.3,58.7,48,10.6
"Sierra","NM",54952,5.8,50.9,70.7,4.6
"Socorro","NM",55650,4.2,48.8,59.8,7.6
"Taos","NM",73881,9.9,45.6,60.9,8.4
"Torrance","NM",55303,11.4,45.3,58.6,7.8
"Union","NM",57454,8.8,61.9,48.8,10.5
"Valencia","NM",68805,8.5,57.6,53.3,7.6
"Carson City","NV",84897,4.6,65.9,36.9,10.5
"Churchill","NV",75777,6.5,68.9,38.7,9.4
"Clark","NV",87879,7.8,63.3,34.7,11.9
"Douglas","NV",102651,3.8,73.2,41.3,7.1
"Elko","NV",96177,4.6,74.8,24.9,9
"Esmeralda","NV",47929,4.9,44.6,51.2,11.1
"Eureka","NV",73795,0,68.5,38.5,9.1
"Humboldt","NV",86919,4.6,72.5,29.2,11
"Lander","NV",93163,10.8,79.8,32.1,5.1
"Lincoln","NV",74183,4,63.7,38.8,11
"Lyon","NV",79938,8.1,63.9,42.1,9.1
"Mineral","NV",52931,13.1,45.8,53.5,9.8
"Nye","NV",65554,9.5,53.2,54.6,10.8
"Pershing","NV",72829,11.9,63.1,36.8,12.5
"Storey","NV",93984,5.3,54.7,56.4,7.8
"Washoe","NV",100882,5,69.9,31,9.8
"White Pine","NV",79173,3.8,71.1,38.1,4.4
"Albany","NY",96639,4.9,76.8,35.2,3
"Allegany","NY",69528,6.7,67.8,43.7,6.1
"Bronx","NY",64183,11.2,45.9,56.5,7.8
"Broome","NY",75381,7.5,66.9,45.3,3.9
"Cattaraugus","NY",66589,6,63,47.4,6.3
"Cayuga","NY",80297,4.5,68.6,42.5,4.2
"Chautauqua","NY",65769,5.4,63.6,48.2,5.2
"Chemung","NY",76513,6.1,66.4,45.3,4.3
"Chenango","NY",71001,7,67.1,47.5,3.3
"Clinton","NY",78525,4.3,74.5,39.7,3.2
"Columbia","NY",101134,5.9,69.1,44.1,4.2
"Cortland","NY",78190,5.9,73.2,37.1,3.5
"Delaware","NY",70305,4.7,61.7,51.4,4.9
"Dutchess","NY",115386,5.2,76.6,33.4,4.4
"Erie","NY",84224,5.1,71,41.2,2.9
"Essex","NY",80720,5.4,71.8,45.1,4.2
"Franklin","NY",70923,6.6,65.8,45.7,6.7
"Fulton","NY",72350,5.1,62.2,50,4.1
"Genesee","NY",77462,4.9,73,40.4,3.2
"Greene","NY",83376,3.7,70.2,43.5,4
"Hamilton","NY",76043,2.7,67.6,48,4.7
"Herkimer","NY",74121,5.4,66.3,47,4.7
"Jefferson","NY",74606,6,68.8,42,4.9
"Kings","NY",103893,7.1,56.2,45.8,6.6
"Lewis","NY",73051,5,67.6,44.2,4.9
"Livingston","NY",82968,4.8,77.2,37.5,3.1
"Madison","NY",83710,4.2,71.4,39.8,3.8
"Monroe","NY",88845,5.3,72,39.2,3.2
"Montgomery","NY",69600,6.4,59.8,47.9,6.1
"Nassau","NY",166843,4.5,80.5,28.9,4.1
"New York","NY",172695,6.6,70.4,34.2,4.7
"Niagara","NY",78062,5.8,71.8,43.1,2.7
"Oneida","NY",80221,4.7,66.1,45.4,3.9
"Onondaga","NY",88117,5.9,72.5,39.2,3.4
"Ontario","NY",94319,4,75.1,38.4,3.4
"Orange","NY",108990,5.4,69.2,38.4,4.7
"Orleans","NY",73464,6.4,65,45.4,4.7
"Oswego","NY",79912,7.1,65.3,44.1,4.2
"Otsego","NY",80038,5.7,72.1,41.4,5
"Putnam","NY",136752,4.8,80.2,29.7,4.1
"Queens","NY",100067,7,58.9,41.5,8.9
