"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Jefferson","CO",580130,50.2,49.8,1.9,19.6,16.5,86,1.1
"Kiowa","CO",1414,48.9,51.1,1.8,26.8,21.3,97,0.5
"Kit Carson","CO",7071,51.4,48.6,3.1,25.8,19.3,85.9,0.1
"La Plata","CO",55673,50.3,49.7,1.3,18.6,18,85.6,0.5
"Lake","CO",7417,52.3,47.7,0.6,19,11,79.1,0.2
"Larimer","CO",354670,50,50,1.8,19.4,15.8,87.8,1
"Las Animas","CO",14531,52.6,47.4,2,18.3,24.2,76.5,1
"Lincoln","CO",5630,58.1,41.9,3.4,20.2,17.1,88.4,8
"Logan","CO",21765,55.7,44.3,1.9,20.3,17.3,83.9,0.9
"Mesa","CO",154685,49.7,50.3,2.5,21.5,19.4,89.4,0.7
"Mineral","CO",794,47.6,52.4,1.1,13.6,22.7,91.7,1.5
"Moffat","CO",13240,50.7,49.3,1,25.6,14.8,86.9,0.6
"Montezuma","CO",25916,50,50,2.3,21.7,22.7,79.2,1
"Montrose","CO",42328,50.1,49.9,2.2,21.3,23.9,88,0.3
"Morgan","CO",28868,51.6,48.4,1.4,26.1,15.2,74.8,3.1
"Otero","CO",18665,48.9,51.1,3.5,23.7,20.5,81,1.3
"Ouray","CO",4850,50.4,49.6,1.2,15.2,31.2,92.7,1.9
"Park","CO",17384,52.7,47.3,0.7,15.5,21.1,92.8,0.3
"Phillips","CO",4497,50.8,49.2,4.1,28.2,16.7,85.9,0
"Pitkin","CO",17471,53.4,46.6,2.6,16.8,19.3,88,0.1
"Prowers","CO",11966,50.9,49.1,2.4,25.6,17.7,82,0.9
"Pueblo","CO",167453,49.5,50.5,2.2,22.6,18.4,78.5,1.9
"Rio Blanco","CO",6495,51.4,48.6,1.6,24.7,15.7,87.8,0.3
"Rio Grande","CO",11476,52.8,47.2,2.6,22.4,20.5,78,0.1
"Routt","CO",24899,52.1,47.9,1.3,17.5,16.5,89.4,0.3
"Saguache","CO",6369,50.6,49.4,1.8,19.9,24.9,85.4,1.2
"San Juan","CO",698,54,46,1.6,14.8,24.8,92.8,0
"San Miguel","CO",8084,54.2,45.8,1.6,16.9,15.7,93.2,0.2
"Sedgwick","CO",2459,52.8,47.2,3.6,24.2,23.5,85.8,0.6
"Summit","CO",31042,54.1,45.9,0.4,16.3,14.4,87.6,0.2
"Teller","CO",24607,50.9,49.1,1.6,16.8,22.4,90.9,0.8
"Washington","CO",4834,53.2,46.8,2.6,22.4,20.7,93.1,1.9
"Weld","CO",322424,50.8,49.2,1.2,26.1,12.1,83.1,1.4
"Yuma","CO",9944,50.9,49.1,3,27.4,18,86.4,1.3
"Fairfield","CT",956446,49,51,2.4,22.5,15.8,68,11.5
"Hartford","CT",898636,48.8,51.2,2.6,21.1,17,66.7,13.9
"Litchfield","CT",185175,49.9,50.1,3.2,18.2,21.4,90.4,1.8
"Middlesex","CT",164568,49.2,50.8,2.6,17.5,20.5,85.4,5.4
"New Haven","CT",864751,48.4,51.6,2.5,20.3,17.3,69.1,13.8
"New London","CT",269131,50.4,49.6,2.3,19.5,18.3,78.5,6
"Tolland","CT",150120,50.4,49.6,1.7,17.4,15.9,85.6,3.1
"Windham","CT",116503,49.8,50.2,2.3,19.8,16.7,86.6,2.3
"Kent","DE",180078,48.4,51.6,1.7,23.1,17.2,63.6,25.7
"New Castle","DE",567769,48.7,51.3,1.8,21.6,15.7,60.8,25.2
"Sussex","DE",234045,48.6,51.4,2.2,18.6,28.3,79.3,11.2
"Alachua","FL",276171,48.3,51.7,1.9,18.2,14.4,65.7,19.9
"Baker","FL",28003,53.5,46.5,1.3,23.7,14.5,79.1,12.6
"Bay","FL",181384,49.9,50.1,2,21.1,17.7,79.1,10.4
"Bradford","FL",27928,55.9,44.1,1.7,19.7,17.6,75.7,19.3
"Brevard","FL",601573,49.2,50.8,3.1,18.4,23.5,78.8,9.7
"Broward","FL",1934551,49,51,2.3,21.2,16.7,52.5,28.5
"Calhoun","FL",13863,55.3,44.7,3.1,20,17.9,77.7,12.1
"Charlotte","FL",184837,49.1,50.9,4.8,12.1,39.9,87,5.4
"Citrus","FL",151888,48.9,51.1,4.1,15,36,90.9,2.5
"Clay","FL",216308,49.5,50.5,1.4,23.4,15.8,75.2,11
"Collier","FL",372797,49.5,50.5,4.2,17.1,32,79.6,6.6
"Columbia","FL",69265,52.1,47.9,1.7,21.9,18.8,73.7,17.7
"DeSoto","FL",34027,56.7,43.3,2.6,19.1,21.7,78.5,12.5
"Dixie","FL",16701,56.2,43.8,1.6,18.5,23,85.6,7.6
"Duval","FL",983153,48.7,51.3,1.6,22.7,14.2,56.1,29.4
"Escambia","FL",318828,49.6,50.4,1.8,21.1,16.8,66.1,21.8
"Flagler","FL",113888,48.1,51.9,3.1,16.9,30.4,79.1,9.8
"Franklin","FL",12232,56.5,43.5,2,15.6,23.6,79.3,12.8
"Gadsden","FL",44233,47.4,52.6,1.8,21.8,18.1,37.2,55.3
"Gilchrist","FL",17759,52.1,47.9,2.2,20.4,20,89.1,4.9
"Glades","FL",12183,55.3,44.7,2.4,14.4,27.2,74.4,14
"Gulf","FL",15205,57.5,42.5,2.2,15.8,22.9,80.4,14.7
"Hamilton","FL",13973,59.3,40.7,1.5,19.5,17.5,59.7,34.3
"Hardee","FL",25632,53.7,46.3,2.1,26.3,16.4,73.6,5.8
"Hendry","FL",39439,53.1,46.9,1.4,26.9,13.4,67.7,10.8
"Hernando","FL",192128,48.5,51.5,3.2,18.6,26.9,83.4,5.2
"Highlands","FL",101174,49,51,4.8,17.2,35.3,77.8,9
"Hillsborough","FL",1444359,49.2,50.8,1.6,22.3,14.2,63.4,16.5
"Holmes","FL",19622,54.5,45.5,2.2,19.9,19.9,87.4,7.1
"Indian River","FL",158002,48.5,51.5,4.7,15.9,33,81.8,8.2
"Jackson","FL",48067,55,45,2.3,18.9,19.6,67.4,26.9
"Jefferson","FL",14405,52.9,47.1,2.1,17.2,23.1,63,33
