"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Menifee","KY",6149,54,46,1.7,23.2,19.3,98.5,0.2
"Mercer","KY",22470,49.3,50.7,2.2,22.1,18.8,92.5,3.8
"Metcalfe","KY",10275,49.3,50.7,1,23.7,18.7,95.3,2.1
"Monroe","KY",11269,50.2,49.8,1.7,23.1,18.4,94.7,2.1
"Montgomery","KY",28084,48.8,51.2,1.5,23.7,16.4,93.9,2.7
"Morgan","KY",13772,57,43,1.5,18.9,17.3,92.6,3.4
"Muhlenberg","KY",31011,49.5,50.5,1.5,20.8,20.6,92.3,4.5
"Nelson","KY",46440,50.1,49.9,1.8,23.8,16,91.6,5.1
"Nicholas","KY",7517,49.4,50.6,1.6,23.4,17,95.9,1.2
"Ohio","KY",23861,50.3,49.7,1.8,23.8,17.7,95.1,1.2
"Oldham","KY",67586,52.7,47.3,0.7,25.5,13.2,89.5,3.8
"Owen","KY",11160,51,49,2.1,22.3,18.8,95,0.5
"Owsley","KY",4094,47.9,52.1,1.9,20.1,22.5,89.7,2
"Pendleton","KY",14625,51.6,48.4,1.1,23.7,15.9,95,0.7
"Perry","KY",28421,49.7,50.3,1.3,23.5,16.6,95,1.1
"Pike","KY",58914,48.8,51.2,1.5,20.9,18.8,96.9,0.8
"Powell","KY",13050,50.6,49.4,1.8,24.3,15.5,94.8,0.3
"Pulaski","KY",64717,48.8,51.2,2.3,22.6,18.7,95.7,0.9
"Robertson","KY",2196,44.8,55.2,2.5,24.2,17.1,98.8,0.3
"Rockcastle","KY",16167,49.2,50.8,2,21.8,18.1,97.5,0.1
"Rowan","KY",24654,47.9,52.1,1.3,19.6,13.8,95.6,1.9
"Russell","KY",17909,49.2,50.8,1.8,23.3,19.7,94,1.3
"Scott","KY",56267,49.2,50.8,1.2,25.2,12.4,87.6,4.7
"Shelby","KY",47523,48.8,51.2,1.3,22.7,16,83.1,6.4
"Simpson","KY",19324,49.3,50.7,1.2,24.2,16.5,85.7,9.1
"Spencer","KY",19256,50.7,49.3,0.6,23,14.1,95.6,1.7
"Taylor","KY",25948,49.1,50.9,1.8,23.3,17.4,91.4,4.6
"Todd","KY",12206,50.2,49.8,1.8,26.8,16.3,87.1,7.8
"Trigg","KY",14067,49.7,50.3,1.3,22.3,22.5,89.2,7.2
"Trimble","KY",8502,50.6,49.4,1,21.3,17.7,94.3,0.2
"Union","KY",13786,52,48,1.3,18.2,16.8,82.9,14.6
"Warren","KY",133216,49.3,50.7,1.1,23,12.8,80.1,8.6
"Washington","KY",11957,49.7,50.3,2.3,23.3,18.3,89.5,5.9
"Wayne","KY",19743,49.5,50.5,1.6,20.7,20.3,93.2,1.1
"Webster","KY",12994,49.6,50.4,1.3,23.4,17.3,89.9,3.7
"Whitley","KY",36578,49.5,50.5,1.9,25.4,15.6,96.5,1
"Wolfe","KY",6666,51.3,48.7,1.9,22.8,19,97,0.1
"Woodford","KY",26758,46.9,53.1,1.3,22.2,18.5,90.9,4
"Acadia Parish","LA",58200,49.5,50.5,1.4,26.1,15.3,78.7,16.6
"Allen Parish","LA",23085,57.1,42.9,1.4,22.2,14.2,74.8,18.1
"Ascension Parish","LA",125289,49.4,50.6,1.1,26.8,11.9,68.8,22.8
"Assumption Parish","LA",21366,47.5,52.5,2,21.9,18.8,66.3,29.7
"Avoyelles Parish","LA",39880,50.6,49.4,2,23.5,16.5,65.1,27.2
"Beauregard Parish","LA",36417,51.2,48.8,1.3,25,15.6,82.2,12.1
"Bienville Parish","LA",13130,47.4,52.6,2.1,22.8,20.4,54.4,42.2
"Bossier Parish","LA",128508,49.4,50.6,1.9,24.9,14.1,68.8,23.5
"Caddo Parish","LA",239775,47.5,52.5,2.3,23.9,17.2,45,49
"Calcasieu Parish","LA",212646,49.1,50.9,1.6,25.2,14.8,69,25
"Caldwell Parish","LA",9707,52.3,47.7,1.3,23.1,18.2,79.1,19.6
"Cameron Parish","LA",5650,49.8,50.2,0.9,23.9,15.9,92.9,1.2
"Catahoula Parish","LA",9117,52.2,47.8,1.6,21.7,16.4,66.1,32.6
"Claiborne Parish","LA",14456,57.3,42.7,2.4,17.8,19.1,45,52
"Concordia Parish","LA",18989,51,49,1.8,23.4,17.6,56.9,40.1
"De Soto Parish","LA",26803,49,51,1.6,24.2,17.7,61.1,34.9
"East Baton Rouge Parish","LA",455447,48,52,1.5,22.9,14.4,45.3,45.4
"East Carroll Parish","LA",7502,55.3,44.7,2,21.4,15.8,28.4,67.2
"East Feliciana Parish","LA",19588,55.6,44.4,1,17.7,18.3,54.4,41.6
"Evangeline Parish","LA",32538,51.6,48.4,1.3,24.8,15.2,66.2,26.5
"Franklin Parish","LA",19964,48.8,51.2,0.8,25.3,18,65.3,33.1
"Grant Parish","LA",22236,56.9,43.1,1.4,20.6,14.6,79.3,15.9
"Iberia Parish","LA",70518,49.4,50.6,1.7,25.8,15.2,59.2,31.5
"Iberville Parish","LA",30651,50.6,49.4,1.3,20.4,15.9,47.9,46.9
"Jackson Parish","LA",15214,51.2,48.8,2.5,21.7,20.3,67,26.7
"Jefferson Davis Parish","LA",32270,49.2,50.8,2,25.7,16.1,78,16.3
"Jefferson Parish","LA",439402,48.6,51.4,2,22.3,17.3,58.2,26.9
"LaSalle Parish","LA",14770,52.8,47.2,1.1,23.3,16.8,83.7,12
"Lafayette Parish","LA",241173,48.8,51.2,1.5,23.9,13.4,66.8,25.7
"Lafourche Parish","LA",97677,49.4,50.6,1.9,23.3,15.6,78.1,13.4
"Lincoln Parish","LA",48415,49,51,2.1,20.1,13.6,54.8,38
"Livingston Parish","LA",141057,49.5,50.5,1.1,25.7,13.2,87.7,6.7
"Madison Parish","LA",10297,49.3,50.7,1.2,23.5,14.4,34,63.5
"Morehouse Parish","LA",25852,48.5,51.5,2.5,24.3,19,48.6,48.7
"Natchitoches Parish","LA",37896,48.2,51.8,1.9,23.3,16.6,51.9,42.6
"Orleans Parish","LA",383974,47.5,52.5,1.7,20,15.2,32.7,58.1
"Ouachita Parish","LA",160227,48,52,1.7,24.9,14.9,58.1,37.6
"Plaquemines Parish","LA",23536,49.5,50.5,1.4,26,13.5,65.3,20.5
"Pointe Coupee Parish","LA",20951,49.1,50.9,2.3,21.9,20.8,62.7,34.2
"Rapides Parish","LA",130459,48.6,51.4,1.9,24.9,16,62.3,31.2
"Red River Parish","LA",7787,49.6,50.4,1.9,24,18.7,56.4,42.1
"Richland Parish","LA",20110,49.4,50.6,2.2,23.4,17.4,61.4,35.8
"Sabine Parish","LA",22377,49.8,50.2,1.9,23.5,20.6,67.6,14.5
"St. Bernard Parish","LA",43821,48.9,51.1,1.3,26.6,11.6,66.7,24
"St. Charles Parish","LA",52411,50.2,49.8,1.6,24.6,13.7,67,26.2
"St. Helena Parish","LA",10881,47.9,52.1,1.1,20.9,19.5,46,51.3
"St. James Parish","LA",20390,48.3,51.7,1.8,22.8,17.6,49.3,49.4
"St. John the Baptist Parish","LA",42704,49.2,50.8,1.7,25,14.5,35.2,57.6
"St. Landry Parish","LA",82999,48.5,51.5,1.8,26.8,16.1,55,40.6
"St. Martin Parish","LA",52222,49.3,50.7,1.5,24.2,15.4,66.3,29.3
"St. Mary Parish","LA",49818,49.5,50.5,2.1,24.1,16.8,58.4,30.1
"St. Tammany Parish","LA",262799,48.9,51.1,1.8,24,17.1,79.7,11.9
"Tangipahoa Parish","LA",132492,48.6,51.4,1.2,24.6,14.6,65.3,30
"Tensas Parish","LA",4269,48,52,0.7,22.7,25.2,42.3,53.1
"Terrebonne Parish","LA",110100,49.4,50.6,1.5,25.4,14.6,68.4,19
"Union Parish","LA",21272,50.4,49.6,2.3,22,20.4,70.1,24.3
"Vermilion Parish","LA",57775,48.9,51.1,2,25.6,15.3,79.7,14
"Vernon Parish","LA",49064,53.2,46.8,1.3,24.9,12.3,75.5,14
"Washington Parish","LA",45794,49.9,50.1,1.9,23.9,18.2,66.5,30.8
"Webster Parish","LA",37356,49.1,50.9,1.8,22.9,19.5,62.9,34.2
"West Baton Rouge Parish","LA",27064,48.8,51.2,1.2,23.7,13.9,57.5,40.9
"West Carroll Parish","LA",9959,50.8,49.2,2.5,23,18.8,79.7,16.1
"West Feliciana Parish","LA",15334,67.2,32.8,0.8,16.3,15,53,44.4
"Winn Parish","LA",13875,53.7,46.3,1.2,20.8,17.8,65.1,32.2
"Barnstable","MA",227942,48.3,51.7,4.3,15,30.6,88.9,2.9
"Berkshire","MA",129089,48.7,51.3,3.4,16.9,23.3,88.7,2.7
"Bristol","MA",576070,48.7,51.3,2.4,20.8,16.8,81.5,4.1
"Dukes","MA",20277,49.5,50.5,3,17.9,24,83.3,4.6
"Essex","MA",804598,48.5,51.5,2.5,21.3,17,75.5,4.4
"Franklin","MA",71085,48.9,51.1,2.4,17.3,22.4,91.3,1.2
"Hampden","MA",466265,48.6,51.4,2.4,21.6,16.8,74.4,8.9
"Hampshire","MA",161810,46.6,53.4,2,14.7,17.4,85.4,2.5
"Middlesex","MA",1623411,49.3,50.7,2.1,19.9,15.2,72.9,5.1
"Nantucket","MA",13795,55.1,44.9,1.9,19.2,15.7,75.8,13.5
"Norfolk","MA",720403,48.5,51.5,2.5,21,16.7,74.4,7.2
"Plymouth","MA",527602,48.9,51.1,2.2,21.4,18.1,80.6,9.3
"Suffolk","MA",792647,48.4,51.6,1.7,16.6,12,51.6,20.7
"Worcester","MA",856858,49.6,50.4,2,21.1,15.7,80,5.2
"Allegany","MD",68684,53,47,2.8,17.2,19.8,87.7,8.5
"Anne Arundel","MD",584064,49.7,50.3,1.6,22.5,14.8,69.4,16.9
"Baltimore","MD",850702,47.6,52.4,2.4,21.9,17.1,57.5,29.6
"Baltimore city","MD",592211,47.1,52.9,1.6,20.5,14.1,29.2,61.6
"Calvert","MD",92515,49.8,50.2,1.6,23.4,15,79.3,12.4
"Caroline","MD",33234,49.2,50.8,1.9,23.8,16.4,77,13.6
"Carroll","MD",172148,49.8,50.2,2.1,21.9,16.8,89.7,3.6
"Cecil","MD",103370,49.8,50.2,1.5,22.7,15.8,86.2,6.7
"Charles","MD",165209,48.3,51.7,1.3,24.1,12.4,40,47.8
"Dorchester","MD",32486,47.3,52.7,1.8,21.2,21.6,63.7,25.3
"Frederick","MD",267498,49.5,50.5,1.8,23.4,14.5,76.4,9.6
"Garrett","MD",28955,50,50,2.5,18.5,22.4,96.2,1.4
"Harford","MD",259162,49.2,50.8,1.8,22.5,16.2,76.6,14
"Howard","MD",329248,49.2,50.8,1.6,24.4,13.9,52.7,19.5
"Kent","MD",19335,47.7,52.3,3.9,15.9,26,78.6,14
"Montgomery","MD",1057201,48.6,51.4,2.1,23.3,15.6,48.8,18.4
"Prince George's","MD",957767,48.3,51.7,1.3,22.4,13.5,15,61.5
"Queen Anne's","MD",49702,49.8,50.2,1.9,21.5,19.2,86.2,5.7
"Somerset","MD",24834,54.5,45.5,1.4,17.1,16.6,52.2,40.9
"St. Mary's","MD",113209,50.2,49.8,1.4,24.3,12.8,75.2,14.1
"Talbot","MD",37510,47.5,52.5,5.1,18.4,29.1,80.4,11.3
"Washington","MD",153956,51.1,48.9,2,21.9,17.1,79.9,10.9
"Wicomico","MD",103223,47.9,52.1,1.8,22.1,15.7,63.8,26.1
"Worcester","MD",52322,49,51,3.3,17.3,27.4,81.7,12.4
"Androscoggin","ME",110378,49.1,50.9,1.8,21.7,17.6,90.2,2.8
"Aroostook","ME",67272,50,50,3.7,18.5,24.1,94,0.8
"Cumberland","ME",300776,48.8,51.2,2,18.6,18.5,89.8,3.2
"Franklin","ME",29487,49.4,50.6,2.8,18,22.3,95.5,0.3
"Hancock","ME",55417,48.8,51.2,2.8,17.1,25.1,95,0.9
"Kennebec","ME",123293,48.9,51.1,2.2,19.3,19.9,94.8,0.7
"Knox","ME",40519,50.4,49.6,2.7,17.8,25.3,95.3,0.4
"Lincoln","ME",35065,49.2,50.8,3.5,17.2,27.8,95.3,0.4
"Oxford","ME",57807,49.9,50.1,2.6,18.3,21.8,95.1,0.3
"Penobscot","ME",152211,49.7,50.3,2.1,18.2,18.5,93.3,1
"Piscataquis","ME",16760,50.6,49.4,2.5,17.1,26.1,94,0.6
"Sagadahoc","ME",36530,49.1,50.9,2.8,18.8,22.6,95.2,0.6
"Somerset","ME",50424,49.7,50.3,1.9,19,21.4,96,0.4
"Waldo","ME",39618,49.6,50.4,1.6,18.6,22.9,95.5,0.4
"Washington","ME",31003,49.3,50.7,2.7,19.3,24.5,89.7,0.7
"York","ME",210486,49,51,2.5,18.7,20.7,93.5,0.9
"Alcona","MI",10138,50.6,49.4,4.2,12.9,35.5,95.6,0.6
"Alger","MI",8911,55.8,44.2,2.7,15.7,25.6,83.3,7.1
"Allegan","MI",119418,50.1,49.9,1.6,24.2,16.7,90.9,1.3
"Alpena","MI",28913,49.7,50.3,3.3,18.9,23.3,95,0.7
"Antrim","MI",23427,50,50,2.7,17.9,27.3,95,0.2
"Arenac","MI",15009,50.8,49.2,2.5,18.4,25.1,95.3,0.5
"Baraga","MI",8249,55.3,44.7,1.9,17.2,22.8,73.1,7.6
"Barry","MI",62014,50.3,49.7,2.5,22.1,18.3,95.4,0.5
"Bay","MI",104050,49.4,50.6,2.5,20.3,20.3,93.1,1.4
"Benzie","MI",17926,50.5,49.5,3.3,18,26.4,93.3,0.4
"Berrien","MI",154263,49.3,50.7,2.8,21.9,19.8,77.5,14.1
"Branch","MI",44677,51.7,48.3,1.5,23.4,18.2,92,2.1
"Calhoun","MI",134207,49.3,50.7,2.1,22.9,17.6,79.7,10
"Cass","MI",51632,50.4,49.6,2,20.9,20.9,87.8,4.9
"Charlevoix","MI",26109,50,50,2.8,18.7,24.5,94.5,0.5
"Cheboygan","MI",25654,50.6,49.4,2.7,16.4,27.5,91.6,0.7
"Chippewa","MI",37091,53.6,46.4,2.1,18.2,18.2,67.9,4.7
"Clare","MI",30827,50.6,49.4,2.4,20.1,23.9,95.5,1
"Clinton","MI",78895,49.8,50.2,1.9,22.3,17.1,91.7,1.7
"Crawford","MI",13102,50.9,49.1,2.1,18.2,25.1,94.3,0.4
"Delta","MI",36836,50.9,49.1,2.9,19.8,24,91.7,0.3
"Dickinson","MI",25954,50.5,49.5,3.5,20,22.8,94.8,0.7
"Eaton","MI",108972,49.5,50.5,2.2,20.9,18.5,84.8,7.2
"Emmet","MI",33946,49.9,50.1,2.2,19,22.5,90.7,0.6
"Genesee","MI",406400,48.5,51.5,2.2,22.7,17.4,73.7,19.6
"Gladwin","MI",25344,50.4,49.6,2.8,19,26.7,96.4,0.3
"Gogebic","MI",14858,52.6,47.4,4.4,16.2,26.7,91.8,2.5
"Grand Traverse","MI",94562,49.5,50.5,2.9,20.2,20,94.1,0.8
"Gratiot","MI",41758,53.9,46.1,2.6,19.7,17.2,89.3,5.9
"Hillsdale","MI",45673,50.2,49.8,1.9,21.8,19.5,95.8,0.7
"Houghton","MI",37485,54.3,45.7,2.4,20.5,17.1,92.7,1
"Huron","MI",31542,49.9,50.1,3.5,19.3,25.4,95.7,0.4
"Ingham","MI",285660,48.9,51.1,1.7,19.8,13.7,72.8,12
"Ionia","MI",66564,53.7,46.3,1.9,22.2,14.9,90.5,4.4
"Iosco","MI",25262,50.2,49.8,2.8,16.6,29.4,94.3,0.7
"Iron","MI",11580,50.1,49.9,4.5,17.2,30.2,94.5,1.2
"Isabella","MI",65623,48.6,51.4,1.5,17.6,12.9,86.5,2.3
"Jackson","MI",160765,51.4,48.6,2.2,21.6,17.7,85.7,7.7
"Kalamazoo","MI",261280,49.1,50.9,1.8,21.8,15,79.1,11.1
"Kalkaska","MI",17813,50.9,49.1,1.9,20.7,20,94.4,1.3
"Kent","MI",654958,49.6,50.4,1.7,24.2,13.7,76.8,9.5
"Keweenaw","MI",2052,51.4,48.6,2.5,15.1,35.4,96.6,0.6
"Lake","MI",12248,51.5,48.5,2.7,16.5,30,86.6,7.6
"Lapeer","MI",88644,51.2,48.8,1.5,20.7,18.3,93.9,1.2
"Leelanau","MI",22251,49.6,50.4,3.2,16.1,31.2,91.5,0.4
"Lenawee","MI",99346,50.8,49.2,2.2,21.1,18.9,91.4,2.1
"Livingston","MI",193234,50.5,49.5,1.8,21.2,17.5,95.4,0.5
"Luce","MI",5520,59.4,40.6,2,16.6,21.4,78.6,9.1
"Mackinac","MI",10814,51.6,48.4,2.3,15.5,28.1,73.3,3.5
"Macomb","MI",879123,49,51,2.2,21.1,17,78.6,12.1
"Manistee","MI",24939,51.5,48.5,2.9,17.4,25.5,89.9,3.3
"Marquette","MI",66380,50.7,49.3,2.2,18,19.2,92.3,1.6
"Mason","MI",29103,50.2,49.8,2.4,20.4,24,93.3,1.1
"Mecosta","MI",40051,50.5,49.5,1.7,18.7,18.4,91.7,2.9
"Menominee","MI",23477,51.4,48.6,3.3,18.2,24.7,93.8,0.5
"Midland","MI",83467,49.8,50.2,2.7,21.5,18.7,92,1.6
"Missaukee","MI",15038,50.7,49.3,2.3,23,20.5,94.5,0.4
"Monroe","MI",154068,49.8,50.2,2,21.4,18.3,92.5,2.3
"Montcalm","MI",66430,51.8,48.2,1.9,22.3,17.3,92.9,2.2
"Montmorency","MI",9164,51.1,48.9,3.4,15.4,32,95.9,0.3
"Muskegon","MI",175633,49.9,50.1,2.1,23.1,17.1,79,13.1
"Newaygo","MI",49653,50.6,49.4,2,22.6,19.4,91.3,0.9
"Oakland","MI",1271983,49.3,50.7,2.1,20.9,16.9,72.9,13.2
"Oceana","MI",26555,51.2,48.8,1.8,22.4,20.7,91,1.1
"Ogemaw","MI",20745,50.6,49.4,2.5,18.5,25.9,95.5,0.4
"Ontonagon","MI",5891,51.3,48.7,2.8,11.8,36.3,95.5,0.4
"Osceola","MI",22917,51.2,48.8,1.8,22.5,20.9,94.7,1.4
"Oscoda","MI",8206,51.4,48.6,3.1,19.5,27.9,95.4,0.7
"Otsego","MI",25016,50.2,49.8,2.5,21.1,20.9,95,0.9
"Ottawa","MI",293713,49.7,50.3,1.9,24,15.1,87.6,1.7
"Presque Isle","MI",12976,50,50,3.1,15.9,31.6,96.2,0.5
"Roscommon","MI",23458,50.1,49.9,3,15.1,32.4,94.9,0.3
"Saginaw","MI",190540,48.9,51.1,2.7,21.7,19.1,73.1,19
"Sanilac","MI",40829,50.3,49.7,2.1,21.5,21.7,95.4,0.5
"Schoolcraft","MI",8004,50.5,49.5,2.7,17.4,27,85.1,0.4
"Shiawassee","MI",68203,49.7,50.3,2.1,21.1,18.3,95.5,0.8
"St. Clair","MI",160067,50,50,2.1,20.9,18.8,92.7,2.3
"St. Joseph","MI",60828,50.2,49.8,1.7,24.6,17.7,89.6,2.2
"Tuscola","MI",53288,50.8,49.2,2.4,20.5,20.4,94.7,1.1
"Van Buren","MI",75550,49.8,50.2,1.9,23.5,18.1,84.4,3.5
"Washtenaw","MI",372428,49.8,50.2,1.5,18.7,14.1,72,11.7
"Wayne","MI",1789781,48.4,51.6,1.9,23.8,15.4,51.7,37.8
"Wexford","MI",33552,50.2,49.8,2.4,23.4,19.1,93.9,0.9
"Aitkin","MN",15747,50.6,49.4,3.9,16.7,32.8,93.5,0.3
"Anoka","MN",360773,50.3,49.7,1.3,24,14.1,80.8,7.4
"Becker","MN",34995,50,50,2.4,24.4,20.8,86.6,0.6
"Beltrami","MN",46033,50,50,1.8,25.4,16,71.6,1.2
"Benton","MN",41087,50.3,49.7,2.2,25.7,13.6,89,4.7
"Big Stone","MN",5155,50.2,49.8,4.8,21.6,25.7,96.8,0.1
"Blue Earth","MN",68575,50.5,49.5,1.7,20,14,88.8,4.6
"Brown","MN",25894,50,50,3.5,22,20.9,94.9,0.7
"Carlton","MN",36145,52.9,47.1,2.4,22.2,17.2,88.7,2.1
"Carver","MN",105694,50,50,1.4,26.5,12.4,89.7,1.6
"Cass","MN",29917,51.5,48.5,1.9,21.2,25.8,81.7,0.4
"Chippewa","MN",12509,50.5,49.5,3.8,23.6,21,87.8,1.2
"Chisago","MN",56328,52.1,47.9,1.9,22.9,15.5,93.7,1.2
"Clay","MN",64975,49.9,50.1,2.1,24.9,13,88.5,4.8
"Clearwater","MN",8525,50.5,49.5,3.1,25.3,20.2,84.3,0.1
"Cook","MN",5574,50.8,49.2,3,15.8,28.5,85.5,0
"Cottonwood","MN",11484,50.1,49.9,4.1,24.9,22.1,86.9,1.5
"Crow Wing","MN",65879,50.1,49.9,2.7,21.6,22.6,95.1,0.7
"Dakota","MN",435863,49.6,50.4,1.5,24.5,14.3,79.5,6.8
"Dodge","MN",20798,50.7,49.3,1.8,25.8,14.7,92.4,0.4
"Douglas","MN",38742,50.4,49.6,3.1,21.8,22.6,96.5,0.3
"Faribault","MN",13933,50.5,49.5,3.6,22.3,22.6,93,0.6
"Fillmore","MN",21179,50.8,49.2,3.9,24.8,20.8,96.2,0.5
"Freeborn","MN",30882,50,50,3.5,22.2,21.9,87.7,1.1
"Goodhue","MN",47503,50,50,3.1,22.4,19.6,92,1.3
"Grant","MN",6045,51,49,3.3,22.8,23.4,95.4,0.7
"Hennepin","MN",1270283,49.7,50.3,1.8,22.1,14.2,69.9,13.3
"Houston","MN",18806,50.3,49.7,3.4,22.4,21.5,94.9,1
"Hubbard","MN",21219,51,49,2.7,21.4,25.1,92.5,0.8
"Isanti","MN",40604,50.7,49.3,1.9,23.7,16.1,94.5,0.8
"Itasca","MN",44969,50.7,49.3,2.8,20.9,23.7,90.1,0.6
"Jackson","MN",10016,51.4,48.6,4.1,22.1,21.9,93.4,0.2
"Kanabec","MN",16004,50,50,2.3,21.4,20.8,95.3,0.4
"Kandiyohi","MN",43504,50.4,49.6,3.1,24.7,18.8,84.7,5.8
"Kittson","MN",4213,50.3,49.7,4.4,21.9,24.9,95.3,1.3
"Koochiching","MN",12203,50.3,49.7,3.7,17.9,26.4,91.7,0.6
"Lac qui Parle","MN",6753,50.8,49.2,4.6,20.9,26.9,95.2,0.5
"Lake","MN",10835,51.5,48.5,4,18.9,26.1,96.5,0.3
"Lake of the Woods","MN",3757,53.5,46.5,2.6,20.9,24.1,91.9,0.1
"Le Sueur","MN",28567,50.6,49.4,1.8,23.9,17.5,94,0.8
"Lincoln","MN",5655,51,49,5.7,23.4,24.8,96.6,0.7
"Lyon","MN",25477,49.1,50.9,2.3,26,16,84.3,3.2
"Mahnomen","MN",5429,51.2,48.8,2.2,31.5,17.3,45.9,1.2
"Marshall","MN",9082,50.5,49.5,3.3,23.3,21.4,94.7,0.5
"Martin","MN",20070,50,50,4.3,22,23,94.9,0.4
"McLeod","MN",36662,50.1,49.9,2.4,23.2,18.6,92.9,0.5
"Meeker","MN",23268,51.2,48.8,2.5,24.5,19.8,95.6,0.4
"Mille Lacs","MN",26397,50.8,49.2,2.1,24,17.9,88.9,0.4
"Morrison","MN",33876,50.9,49.1,2.7,23.5,19.5,96.1,0.3
"Mower","MN",39985,50.8,49.2,2.9,25.6,18.1,81.7,3.6
"Murray","MN",8224,50.4,49.6,4.4,21.9,25.5,94.9,0.5
"Nicollet","MN",34295,50.1,49.9,2.1,22.3,15.9,89.4,2.5
"Nobles","MN",22223,51.7,48.3,2.8,27.8,16.4,70.2,5.3
"Norman","MN",6500,51.6,48.4,3.9,23.8,21.1,92.2,1.2
"Olmsted","MN",160928,49.1,50.9,2.3,24.6,15.3,81.7,6.9
"Otter Tail","MN",59728,50.5,49.5,3.2,21.9,23.7,93.2,1.2
"Pennington","MN",14063,49.9,50.1,2.5,23.3,18.2,92.5,1.3
"Pine","MN",28997,53.9,46.1,2.3,19.7,20.7,90.7,2.3
"Pipestone","MN",9370,48.8,51.2,3.6,26.9,20.7,91.8,1.1
"Polk","MN",31303,51.2,48.8,2.7,24.7,18.3,88.5,2.5
"Pope","MN",11216,51.5,48.5,3.7,21.2,24.4,95.3,0.5
"Ramsey","MN",549377,49.1,50.9,2,23.5,14.5,63.6,12.2
"Red Lake","MN",3921,51.2,48.8,3.8,24.7,20.8,93.7,0.9
"Redwood","MN",15435,50.3,49.7,3.8,25.1,21.2,87.1,0.6
"Renville","MN",14768,51,49,3.2,23.4,20.5,88.1,0.4
"Rice","MN",66795,51.3,48.7,1.8,21.8,15.7,84,6.2
"Rock","MN",9718,48.8,51.2,3.6,25.8,19.8,95.4,0.4
"Roseau","MN",15321,52.6,47.4,2.2,24.2,17.6,90.8,1
"Scott","MN",149568,50,50,1.2,27.2,11.3,81.7,4.8
"Sherburne","MN",96295,51.1,48.9,1.6,26.4,11.4,89.9,2.9
"Sibley","MN",14948,50.9,49.1,3,23.5,18.1,92.1,1
"St. Louis","MN",200311,50.4,49.6,2.5,19.1,19.5,91.4,1.6
"Stearns","MN",157638,50.6,49.4,2,23.5,15,85.6,7.4
"Steele","MN",37363,50.4,49.6,3,25,17.7,90,3.3
"Stevens","MN",9669,51.2,48.8,2.3,21.5,16.7,87.4,1.9
"Swift","MN",9810,51,49,3.8,23.2,21.8,93,1.3
"Todd","MN",25121,51.8,48.2,2.6,24.1,21.3,90.7,0.6
"Traverse","MN",3362,49.6,50.4,6.7,21,24.7,89.2,0.2
"Wabasha","MN",21425,50.8,49.2,2.2,21.8,21.5,95.7,0.5
"Wadena","MN",14009,50,50,3.4,26.3,20.4,92.8,0.9
"Waseca","MN",18972,48.3,51.7,2.1,23.4,17.7,92.4,1.1
"Washington","MN",264818,49.7,50.3,1.5,24.5,15.1,82.9,4.8
"Watonwan","MN",11223,50.6,49.4,4.1,24.7,20,82.3,0.4
"Wilkin","MN",6495,52.3,47.7,4.6,23.2,18.9,93.9,0.2
"Winona","MN",49889,49.8,50.2,2,18.1,17.1,92.2,1
"Wright","MN",139890,50.9,49.1,1.1,27.9,12.6,92.4,1.7
"Yellow Medicine","MN",9616,50,50,3.6,22.9,20.6,91.7,0.7
"Adair","MO",25339,48.3,51.7,2,18.3,14.4,90.7,3.9
"Andrew","MO",18023,50.4,49.6,3.3,23.4,18.9,94.4,1.1
"Atchison","MO",5312,50.3,49.7,4,20.8,25.1,95.6,0.3
"Audrain","MO",25223,47,53,2.1,23,17.6,89.4,5.2
"Barry","MO",34648,50.2,49.8,2.3,22.8,21.3,85.6,0.3
"Barton","MO",11712,49.4,50.6,2.2,23.8,20.7,91.9,0.1
"Bates","MO",16100,49.8,50.2,2,24,18.9,94.2,1.9
"Benton","MO",19351,50.3,49.7,3.4,17.3,30.5,94.3,0.6
"Bollinger","MO",10758,50.8,49.2,1.4,21.7,19.9,95.5,0.5
"Boone","MO",182170,48.8,51.2,1.4,20.6,12.5,80,9.2
"Buchanan","MO",85545,50.7,49.3,1.9,22.7,16.2,84.6,5.2
"Butler","MO",42314,49.1,50.9,2,23.7,18.8,89.3,5.8
"Caldwell","MO",8856,51.1,48.9,2.6,24.1,19.7,94.4,0.5
"Callaway","MO",44449,50.9,49.1,1.6,21.3,16,91,4
"Camden","MO",43053,49.8,50.2,2.4,18,28.1,95.1,0.8
"Cape Girardeau","MO",81086,48.6,51.4,2.2,21.7,16.6,86.8,7.4
"Carroll","MO",8564,49.8,50.2,3.3,22.6,21.4,95.1,1.7
"Carter","MO",5365,49.9,50.1,0.9,21.6,20.3,96.6,0.1
"Cass","MO",106966,49,51,2.1,24.1,16.8,88.7,4.3
"Cedar","MO",14184,51.5,48.5,2.1,24.3,23.3,95.2,0.2
"Chariton","MO",7432,49.8,50.2,3.6,22.9,24.4,94.7,2.4
"Christian","MO",87824,48.8,51.2,1.6,25.5,15.6,93.6,1.1
"Clark","MO",6649,51.5,48.5,2.9,24.9,20.5,96,0.1
"Clay","MO",250134,49.4,50.6,1.5,24.2,14.2,82.7,6.3
"Clinton","MO",21095,49.6,50.4,2.3,23.6,17.7,94.8,1.2
"Cole","MO",77412,50.7,49.3,1.6,22.4,16.7,82.8,11.8
