"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Grand Isle","VT","42.4",103978,4.1,73.6,39.6,3.7,7249,50.9,49.1,1.4,17.5,20.8,92.8,1.1
"Lamoille","VT","42.5",98015,3.9,64.8,42.9,6.1,25920,50.3,49.7,1.7,20.4,17.2,94.5,1.2
"Orange","VT","34.2",81387,3.1,66.2,46.4,4,29286,50,50,2,18.4,21.3,95.4,0.3
"Orleans","VT","27.3",72478,5.9,61.8,53.5,3.1,27317,50.5,49.5,2.1,19.7,22.7,95.3,0.6
"Rutland","VT","32.1",77012,4.3,65,46.4,4.5,60662,49.9,50.1,2.4,17.6,22.1,95.1,0.7
"Washington","VT","44.0",87646,3.1,69.7,42.2,3,59609,50.1,49.9,2.3,18.6,19.7,94.7,0.8
"Windham","VT","40.9",81154,4.7,61.3,51,4.7,45811,48.8,51.2,2.4,17.9,23.2,93.6,1.2
"Windsor","VT","40.2",89974,3.6,67.5,43.5,4.7,57593,49.2,50.8,2.3,18.1,23.5,94.5,0.7
"Adams","WA","13.7",68128,7.4,42.3,47.2,17.2,20353,51.2,48.8,0.7,35.6,11.2,53.9,0.4
"Asotin","WA","23.7",79827,5.6,65,48.7,6.2,22285,49.6,50.4,2.3,20.7,23.1,91.1,0.9
"Benton","WA","32.1",98748,5,67.6,39.3,7.6,204551,50.3,49.7,1.6,26.7,14.9,78,1.7
"Chelan","WA","28.6",90114,4,60.8,45,9.7,78508,50.3,49.7,2.7,23.5,19,72.3,0.4
"Clallam","WA","30.0",77462,6.2,60.8,53.6,7.3,76727,49.5,50.5,2.8,17,29.7,84.9,1
"Clark","WA","32.0",104100,5.3,70.7,35.9,6.5,496494,49.7,50.3,1.7,23.8,15.5,81.4,1.9
"Columbia","WA","26.8",89645,2.6,64.8,49.2,7.2,3969,48.8,51.2,3.1,18.7,28.5,84.8,1.5
"Cowlitz","WA","17.0",81037,6.1,65.4,46.2,5.4,109457,49.8,50.2,2.2,22.9,19,86.7,0.9
"Douglas","WA","21.2",97120,3.9,57.9,43.2,12.3,42622,51,49,2.4,25.8,17.4,66.3,0.5
"Ferry","WA","17.9",66023,7.2,50.7,63.4,5.4,7198,51.1,48.9,2.2,17.5,27.8,72.9,0.3
"Franklin","WA","19.8",91134,5.7,54.8,41.9,14.2,95313,51.7,48.3,0.8,32.3,9.4,61.9,2.5
"Garfield","WA","25.4",63119,11,62.8,54,6.6,2278,51.4,48.6,2.1,19.4,27.8,93,0
"Grant","WA","18.1",78880,5.1,51.9,46.3,11.7,97874,51,49,1.2,29.6,13.8,63.5,1.1
"Grays Harbor","WA","16.3",69510,6.9,59,51.3,7.2,74737,51.5,48.5,1.8,20.5,21.8,85.1,1.3
"Island","WA","35.0",97348,6.1,74.9,43.2,4.7,85938,49.9,50.1,2.3,18.1,24.6,82,2.7
"Jefferson","WA","42.7",82302,7.6,64.2,56.5,5.5,32590,49.1,50.9,3.3,12,36.9,88.9,0.6
"King","WA","54.0",145743,4.6,77.2,26.9,5.4,2240876,50.5,49.5,1.7,20.2,13.1,60.5,6.4
"Kitsap","WA","35.0",107645,4.6,77.2,37,4.7,273072,51.4,48.6,1.6,20.4,18,78.7,2.8
"Kittitas","WA","35.3",82741,6.7,75.7,33.9,4.8,44147,50.4,49.6,1.1,17.1,16,84.8,1
"Klickitat","WA","31.1",80448,6.9,62.1,49.4,7,22478,51.1,48.9,1.5,19.4,23.8,89.6,0.7
"Lewis","WA","19.0",75948,7.1,63,48.1,7.2,81214,50.4,49.6,2.2,21.8,20.7,86.2,0.7
"Lincoln","WA","24.3",80753,5.1,63.1,48.7,3,10798,50.4,49.6,2,22.1,25.1,92.6,0.7
"Mason","WA","18.7",82004,6.3,64.6,50.8,6.2,64964,52.4,47.6,2.3,19.7,22.7,81,0.7
"Okanogan","WA","21.2",64676,6.5,48.7,57.1,10.7,41966,50.9,49.1,2,23.2,21.8,69.6,0.2
"Pacific","WA","22.4",70529,5.1,63.3,56.4,5.5,22974,49.8,50.2,3.3,15.7,31.7,83.4,0.6
"Pend Oreille","WA","22.1",74818,6.5,56.3,54.3,6.4,13302,51.4,48.6,2,19.5,25.8,86.7,0.3
"Pierce","WA","28.4",103211,5,72.6,35.2,6.1,910225,50.1,49.9,1.4,23.5,13.8,69.7,6.9
"San Juan","WA","51.3",110926,3,69,47.9,7.6,17631,48.9,51.1,2.2,13,33.7,90.5,0.9
"Skagit","WA","28.6",94571,4.8,67.4,43.1,6.8,128228,49.7,50.3,2,21.8,20.8,79.4,0.7
"Skamania","WA","25.9",93404,6.1,69.8,42.6,5.6,11973,50.2,49.8,2.2,18,20.8,91.1,0.1
"Snohomish","WA","34.1",117726,4.4,75.6,29,6.1,820024,50.4,49.6,1.5,22.6,13.6,71,3.4
"Spokane","WA","31.5",85162,5.7,65.9,42.3,5.3,531477,49.9,50.1,1.8,22.1,16.2,85.8,1.8
"Stevens","WA","20.8",76058,5.4,58,52.8,6.9,46057,50.1,49.9,2.1,21.5,23.5,88.3,0.4
"Thurston","WA","36.2",97319,5.7,75.3,37,5,290642,49.2,50.8,1.7,21.5,17.3,77.6,2.9
"Wahkiakum","WA","21.3",70177,4.3,67.1,52.4,6.1,4373,49.7,50.3,2.6,17,32.5,86.2,1.3
"Walla Walla","WA","28.4",83812,6.3,66.2,41.8,8.2,62168,51.2,48.8,3.1,21.2,18.2,80,1.8
"Whatcom","WA","36.4",89590,5.1,70.8,37.2,5.6,224533,49.6,50.4,1.7,19.3,17.5,81.3,1
"Whitman","WA","47.6",66772,7.5,78,26.9,4.4,48197,51.1,48.9,0.9,15.2,10.8,80.4,2.1
"Yakima","WA","17.8",74163,7.1,48.8,48.5,13.3,255151,50.1,49.9,1.9,29.8,13.7,65.2,1
"Adams","WI","15.1",65323,5.7,64.1,54.3,5,20505,54,46,3,14.6,29.6,91.3,2.5
"Ashland","WI","19.1",65865,5.5,63.3,45.3,6,16002,51.4,48.6,2.6,21.8,19.6,83.4,0.9
"Barron","WI","20.6",73109,2.9,67.4,41.6,8.4,46529,50.5,49.5,2.6,21.8,21.9,93.3,1.8
"Bayfield","WI","33.5",79189,3.9,68.3,48.2,5.7,16031,51.6,48.4,2.5,17.1,28.1,85,1.2
"Brown","WI","31.8",88785,3,74.8,30.7,5.4,267364,49.9,50.1,1.7,23.8,15,82.5,2.6
"Buffalo","WI","19.6",73514,2,76,36.3,5.5,13314,51.1,48.9,2.7,20.5,22.4,96.1,0.7
"Burnett","WI","21.5",71163,5.4,62.7,52.7,7.9,16356,51.6,48.4,2.5,17.4,29,91.5,0.7
"Calumet","WI","30.2",97542,2.3,79.4,26.4,3.3,52128,50.6,49.4,1.6,23.6,15.2,92.3,0.9
"Chippewa","WI","23.4",80189,2.8,73.9,36.6,5.4,65877,52.2,47.8,2.3,22.1,17.9,94,1.6
"Clark","WI","13.0",72980,3.1,59.4,33.3,20.5,34655,50.8,49.2,2.4,29.9,16.3,94.7,0.7
"Columbia","WI","23.7",88523,3.4,79.9,31.5,5,58219,51.5,48.5,2.1,21.3,17.9,93.3,1.9
