"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Smith","TN","17.3",75385,4.5,63.9,41,8.2,19820,50.2,49.8,1.5,22.6,16.4,91.4,2.3
"Stewart","TN","20.2",65279,4.6,65.1,42.3,9.4,13569,49.4,50.6,1.8,21.9,19.8,92.7,0.3
"Sullivan","TN","25.7",72115,6.7,61.9,45.1,9.1,157843,48.9,51.1,2.5,19.4,21.7,93.8,1.9
"Sumner","TN","29.8",95807,3.7,71.9,32,8,193036,49.1,50.9,1.5,23.6,15.8,84,8
"Tipton","TN","18.7",79500,5.2,69.3,36.6,8.5,60868,49.3,50.7,0.9,24.5,14.5,76.2,18.4
"Trousdale","TN","9.5",65949,3,63.8,38.3,9,11463,62.1,37.9,0.4,18.1,12.2,82.6,10.7
"Unicoi","TN","16.0",60033,5.2,59.1,47.8,8.3,17891,50.9,49.1,2.5,17,23.6,94.7,0.4
"Union","TN","11.8",67551,5.8,58.3,44.8,8.7,19597,49.4,50.6,1.4,21.9,17.9,96.3,0.6
"Van Buren","TN","10.0",55158,3.9,48.7,46.3,18.3,6083,50.9,49.1,1.9,19.2,23.3,95.3,0.1
"Warren","TN","14.3",62369,3.5,55.8,43.2,14,40801,50.2,49.8,1.6,23.7,17.5,88.7,3.1
"Washington","TN","33.1",75625,5.1,67.9,35.8,9.7,132067,49.2,50.8,2.1,19.2,18.2,89.5,4.1
"Wayne","TN","11.4",61269,5.6,59.6,42.6,12,16350,55.5,44.5,1.8,17.3,19,90.5,5.8
"Weakley","TN","21.3",59560,3.8,62.5,39.6,11.9,32948,49.5,50.5,2.2,19.3,18.3,87.8,7.9
"White","TN","13.4",59670,5.8,57.7,44.6,11.6,27134,48.6,51.4,2,22,20.2,94.5,1.8
"Williamson","TN","61.9",156064,2.3,86.2,18.9,4.6,242386,49.3,50.7,1.1,27,13.3,85.8,4
"Wilson","TN","35.9",105808,3.8,75.4,28.4,7.2,144748,49.4,50.6,1.2,23.7,15.4,85.1,6.8
"Anderson","TX","12.0",64877,4,56.8,38.6,16.9,58133,61.9,38.1,1.2,19.1,14.5,67.7,20.8
"Andrews","TX","18.8",100517,2.9,59.5,23.1,23.7,18184,49.8,50.2,0.9,30.9,9.7,74.5,2.2
"Angelina","TX","18.0",66650,6.3,53.1,39.1,19.2,86584,49.1,50.9,1.6,25.6,16.2,73.8,13.8
"Aransas","TX","24.8",81683,8.2,58.8,45.3,16,24149,51.6,48.4,2.4,19.5,27.3,86.8,0.2
"Archer","TX","22.5",89349,3.2,66.5,35.2,16.8,8616,50.4,49.6,2.6,22.6,20.2,92.9,0.5
"Armstrong","TX","26.7",84193,1,74.9,29.7,8.5,1980,46.2,53.8,2.2,25.4,23,93.6,0.7
"Atascosa","TX","14.8",78218,6.3,58.6,31.8,19.5,48684,50,50,1.8,27.3,14.7,76.4,0.4
"Austin","TX","23.9",84574,5.5,63.8,32.7,15.4,30132,50.4,49.6,1.6,23.8,19.6,75.7,8.9
"Bailey","TX","15.0",74148,2.3,46.2,33.3,32.4,6968,49.7,50.3,2.2,27.9,13.4,86.7,0.2
"Bandera","TX","27.5",84354,6.7,65,43.2,15.4,20839,49.8,50.2,1.7,17.1,27.3,85.4,1
"Bastrop","TX","23.1",92057,4,64.3,29.4,18.6,94887,51.1,48.9,1,25.6,15,62.2,7.4
"Baylor","TX","19.7",59974,3.5,59.4,37.5,17.9,3491,47.7,52.3,2.8,23.3,24,85.4,4.1
"Bee","TX","11.9",65876,7.3,59,35.1,15.7,31191,61.7,38.3,1.3,21,12.3,74.1,7.3
"Bell","TX","26.6",75372,7.7,66.9,33.6,13.8,364703,49.9,50.1,1.2,27.8,10.9,57.8,23.7
"Bexar","TX","30.0",84133,5.6,63,31.5,15.6,1990522,49.6,50.4,1.4,25.6,12.1,64,7.6
"Blanco","TX","25.7",94758,4.3,72.2,31.4,15.3,11313,49.8,50.2,2.9,17.6,24.8,81.1,0
"Borden","TX","38.0",96167,4.4,85.1,24.4,5.5,550,43.8,56.2,3.3,33.3,24.9,94.2,0
"Bosque","TX","18.4",73128,3.8,60.2,40.1,16.8,18275,49.3,50.7,2.6,21.3,24.5,87.2,1.8
"Bowie","TX","22.9",75703,4.1,62.8,34.6,14.7,92957,50.8,49.2,1.9,23.8,16.4,67.7,25.2
"Brazoria","TX","31.3",108492,5.1,71.7,23,13.4,368575,50.7,49.3,1.3,26.4,11.8,63.6,14.9
"Brazos","TX","42.2",78445,4.4,74.9,21.7,12.3,231095,50.5,49.5,1.1,20.8,9.4,72.9,11.1
"Brewster","TX","46.0",67997,3.4,76.1,28.1,12.7,9501,48.4,51.6,2.7,19,23.1,80.7,0.3
"Briscoe","TX","15.6",52889,1.8,45.7,41.2,26.1,1266,59.3,40.7,1.6,16.6,24.5,85,2.4
"Brooks","TX","18.0",39592,1.7,42.6,45.9,22.7,7100,48.4,51.6,1.7,24.4,18.9,68.5,1.8
"Brown","TX","19.4",70248,5.2,59.9,37.9,16.9,38085,49.8,50.2,3.1,21.7,19.8,84.1,3.6
"Burleson","TX","21.1",79815,5.5,64.6,36.4,13.9,17687,49.7,50.3,1.8,22,20.7,75.6,13.2
"Burnet","TX","27.8",90634,3.7,62.4,36.8,18.1,48424,49.5,50.5,2,21,22.7,85.4,1.5
"Caldwell","TX","16.0",80237,2.4,56.2,31.1,24.1,45286,50.7,49.3,1.9,23.6,14.5,69.7,5.2
"Calhoun","TX","17.4",77888,4.1,70.6,30.1,13.6,20367,51.5,48.5,3.1,24.4,17.7,74.8,2.6
"Callahan","TX","22.4",68791,4.5,64.1,37.2,16.3,13781,49.8,50.2,2.5,22,20.3,92,1
"Cameron","TX","19.0",60107,6,38.4,38.3,28.5,420554,49,51,1.7,30.3,13.5,73.7,0.6
"Camp","TX","22.8",68062,8.2,53.6,42.1,20.4,12498,48.3,51.7,1.7,26.5,17.9,69.9,15.6
"Carson","TX","26.1",97794,2.2,74.1,24.5,10.2,5856,49.5,50.5,3,24.1,20.8,91.8,1
"Cass","TX","17.3",61554,8.8,58,42.3,14.7,28692,48,52,2.7,22.5,21.9,77.5,17.3
"Castro","TX","21.8",68870,4.1,50.9,35.6,22.3,7450,50.4,49.6,1.6,29.3,15.7,74.6,1.2
"Chambers","TX","23.9",113619,8.4,69.4,25.2,14.2,45257,50.2,49.8,0.9,28.4,11.6,79.2,7.6
"Cherokee","TX","17.4",69290,6.6,55.6,37.5,20.7,50564,51.4,48.6,1.8,25.5,17.3,72.4,13.8
"Childress","TX","18.9",70354,7.2,60.6,29.7,21.9,6784,63.9,36.1,1.4,18,13.6,74.3,8.8
"Clay","TX","23.1",81656,1.8,66,35.6,14.4,10236,50.2,49.8,2.7,20.3,22.2,92.8,0.4
"Cochran","TX","9.7",55893,8.4,42.3,41,22.4,2553,51,49,1.2,27.1,16.2,65.5,6.1
"Coke","TX","20.4",60514,2.8,61.1,40.6,13.3,3288,47.2,52.8,3.3,21.8,26.6,87.8,1
"Coleman","TX","19.0",61868,6.6,51.2,42.4,24.2,7848,50.7,49.3,2,20.3,26.4,82.8,2.6
"Collin","TX","53.4",133573,4.3,80,16.8,10.6,1039812,49.6,50.4,0.9,25.9,10.9,62.9,10.1
"Collingsworth","TX","23.6",65187,4.6,44,41.6,25.3,2948,49.9,50.1,2.9,25.7,18.9,69.7,9.3
"Colorado","TX","20.7",82577,4.5,64.4,33,16.2,20559,49.7,50.3,2.9,23.9,21.8,68.3,12.5
"Comal","TX","39.6",112019,3.6,75.4,29,11.1,156257,49.8,50.2,2,22.6,18.1,84.1,2.3
"Comanche","TX","19.3",68534,7.5,63.1,38.7,15.7,13540,50.1,49.9,2.1,23.1,23.5,80.2,0.5
"Concho","TX","12.8",62995,1.3,62.6,49.8,7.2,3181,60.6,39.4,3.8,17.1,25.1,85.5,2
"Cooke","TX","22.0",85821,3.8,64.5,33.3,16.4,41215,49.9,50.1,2,23.9,18.3,86.3,2.8
"Coryell","TX","17.3",70872,6.1,70.6,35.1,12.6,81692,50.1,49.9,0.9,22.7,10.3,67.3,14.2
"Cottle","TX","19.6",63500,3.8,58.4,47.8,12.6,1560,48.7,51.3,2.2,28.1,17.9,73.3,7.1
"Crane","TX","14.3",77478,3.5,73.7,19.5,16.9,4654,53.3,46.7,0.5,30.8,14.3,49.2,1.2
"Crockett","TX","16.2",59153,1.6,64.4,23.6,20.4,2939,49.7,50.3,1.4,20.8,21.5,47.3,1.6
"Crosby","TX","14.5",70789,4.7,50.8,42,21,5265,51.5,48.5,1.2,25.7,18.3,77.4,4.1
"Culberson","TX","17.2",42578,12.5,33.5,45.8,28,2209,54.4,45.6,3,24.7,21.7,71.9,0.1
"Dallam","TX","15.7",92569,2.5,50.1,29.1,29.5,7135,52.7,47.3,1.4,32.7,10.5,79.1,0
"Dallas","TX","33.0",95218,5.2,56.9,28.3,21.4,2604722,49.5,50.5,1.2,26.1,10.8,51.8,22.5
"Dawson","TX","13.7",62133,8.2,51.2,41.6,16.8,12371,55.1,44.9,1.7,26,14.3,63.5,8.4
"DeWitt","TX","12.6",81147,6.3,62.2,35.8,16.5,19834,52.2,47.8,2.4,22.7,19.4,62.3,8.1
"Deaf Smith","TX","11.4",66766,3.6,47.8,36.3,23.3,18675,50.1,49.9,1.6,31.3,12.6,76.5,0.8
"Delta","TX","22.3",77374,4.2,69.9,38.2,9.3,5251,44.3,55.7,2.5,24.1,19.3,83.6,8.5
"Denton","TX","47.3",123438,4.1,79.4,17.5,10.9,885012,49.4,50.6,0.9,24.5,10.4,68.2,10.3
"Dickens","TX","20.2",62747,8.9,57.8,44.1,17.2,1569,50.5,49.5,2,20.7,24.9,83.7,2.1
"Dimmit","TX","13.0",50484,5.9,40.5,50.6,14.1,8840,48.5,51.5,2.2,29,17,60.4,0.2
"Donley","TX","15.7",64299,0.1,62.8,32,16.3,3266,49.8,50.2,1.8,20.3,22.7,87.6,6.8
"Duval","TX","8.8",56932,10.3,44.3,44,22,10001,51.5,48.5,2.5,25.8,16.8,82.8,1
"Eastland","TX","21.4",69685,5.5,59.9,39.9,17.1,17785,49.7,50.3,3,21.9,21.7,88.9,2.2
"Ector","TX","16.3",85087,6.1,62.1,23.5,21.6,161258,51.1,48.9,1,30.6,9.4,66,4.8
"Edwards","TX","21.0",64825,0,46.6,38,26.1,1366,54,46,1.2,16.2,28.2,98.8,0.1
"El Paso","TX","24.7",68614,6.8,52.8,33.6,21.3,860485,49.6,50.4,1.6,27.1,12.2,59.6,3.2
"Ellis","TX","26.3",104354,4,68.1,24.8,16.1,187984,49.6,50.4,1.2,26.8,12.7,73.8,11.3
"Erath","TX","30.9",79145,5.6,69.1,27.9,14.9,42288,49,51,1.6,21.1,13.9,86,1.4
"Falls","TX","12.7",59716,8.1,56,45.2,15.9,17074,46.7,53.3,2.3,21.3,18.4,65.4,22.6
"Fannin","TX","18.6",84956,4.8,59.8,34.9,16.8,35453,53,47,2.3,21.3,18.4,86.2,5.9
"Fayette","TX","23.0",85580,3.5,71.1,34.8,11.7,24445,49.9,50.1,3.2,20.2,25.3,86.8,6.2
"Fisher","TX","19.6",70672,3.8,66.7,36.4,12.4,3720,53.5,46.5,2.9,21.6,22.8,83.4,2.1
"Floyd","TX","14.9",66659,4.5,50.5,36.8,23.8,5478,50,50,4.1,27,18.5,83.3,4.7
"Foard","TX","17.0",56673,10.1,54.7,49.8,16.9,1087,49.3,50.7,5.3,17.9,34.9,74.8,0.1
"Fort Bend","TX","48.1",128974,5.5,74,20.9,12.2,806497,49.3,50.7,0.9,27.5,11.3,44.8,20.2
"Franklin","TX","29.2",95815,6.6,62.4,36,15.1,10413,50.4,49.6,1.7,24,21.7,83.3,4.8
"Freestone","TX","16.0",76518,2.7,62.9,41.1,11.6,19478,52.2,47.8,2.4,22.8,19.5,75.5,14.9
"Frio","TX","8.9",68201,5.1,56.5,35.1,16.6,18428,60.5,39.5,1.5,23.6,12.2,72.2,4.1
"Gaines","TX","10.7",81041,3.3,50.5,24.3,30.5,21167,51.4,48.6,0.7,36.2,8.6,85,2.2
"Galveston","TX","33.2",103614,5.7,70.9,26.7,13.2,347084,49.4,50.6,1.5,24.3,14.4,72.3,12.3
"Garza","TX","11.6",67128,6.9,73.4,34.4,11.9,5734,61.4,38.6,2.7,14,15.9,72,7.3
"Gillespie","TX","35.2",93625,4.7,63.8,40,18.4,26730,48.6,51.4,4,20.3,28.8,88,0.2
"Glasscock","TX","30.8",110050,0,55.4,20.5,27.8,1221,60.4,39.6,0.7,20,11.7,62.3,0
"Goliad","TX","18.1",82053,3.8,65.5,36.1,11.3,7085,49.9,50.1,3.2,21.2,23,83.2,4.9
"Gonzales","TX","13.6",76749,0.8,55.4,34.1,20.3,19720,51,49,1.5,27,16.7,65.2,6.8
"Gray","TX","14.6",74688,5,58.9,32.8,20.7,21398,53.8,46.2,1.8,25.4,15.6,80.1,5.1
"Grayson","TX","21.8",80260,3.9,61.7,33.9,16.8,134205,48.9,51.1,2.3,23.9,17.6,82.4,5.6
"Gregg","TX","21.2",77542,3.7,57.6,34.4,18,123744,48.8,51.2,2,26,15.3,67.4,19.5
"Grimes","TX","17.6",82496,4.9,62,35.9,16,28878,54.4,45.6,1.6,22.3,17.7,70.8,14.7
"Guadalupe","TX","28.7",94811,4.4,71.9,29,11.9,169477,49.7,50.3,1.2,25,13.9,69.4,8.6
"Hale","TX","16.7",62112,4.5,52.3,33,23,32879,52.5,47.5,2,27.2,13.2,74,4.3
"Hall","TX","19.3",62029,9.7,53.7,43.1,22.1,2875,49,51,3,22.4,22.6,71.3,5.7
"Hamilton","TX","21.6",69806,3.7,59.5,41.7,15.9,8211,49.7,50.3,5.1,22.1,24.6,91.9,0.3
"Hansford","TX","23.7",64026,11.3,68.3,23.9,16.1,5332,52.8,47.2,3,30,16.1,85,0.2
"Hardeman","TX","15.8",67747,2.5,62.2,39.8,12.3,3567,49.5,50.5,1.7,22,20.1,81.7,1.3
"Hardin","TX","18.7",80543,4.2,61.6,33.1,16.4,56124,49.1,50.9,1.4,24.8,16.9,88.8,6.1
"Harris","TX","32.5",97219,6.5,57.1,28,21.1,4697957,49.8,50.2,1,26.7,10.6,52,18.9
"Harrison","TX","21.1",74499,6.6,59.2,37.4,15.3,68674,48.8,51.2,1.8,25.2,17.2,69.4,20
"Hartley","TX","23.1",78904,0.8,65.7,27.7,17.5,5465,60,40,0.7,21.4,14.4,80.6,7.8
"Haskell","TX","17.7",85411,6.8,54.4,41.1,19.8,5420,54.8,45.2,2.7,18.4,22.4,81.6,5.4
"Hays","TX","38.7",94476,5.6,73.6,22.3,13.9,234573,49.9,50.1,1,23.1,11.1,76.6,4
"Hemphill","TX","21.7",97336,6.2,68.2,27.5,18.4,3450,57,43,3.7,26.8,16.9,77.8,1.6
"Henderson","TX","18.2",73334,6.3,53.7,43.5,18.4,81717,49.4,50.6,2.2,21.6,22.1,85.4,5.9
"Hidalgo","TX","19.5",62371,7.8,36.8,37.2,30.8,865677,49.2,50.8,1.2,32.5,11,64.4,0.6
"Hill","TX","17.3",74443,5.5,58,36.6,16.8,35686,50.2,49.8,1.7,23.4,20.2,82.2,6.2
"Hockley","TX","17.0",67081,5.8,57.6,32.5,19.1,21670,50.3,49.7,2.1,26.3,14.4,77.9,3.3
"Hood","TX","30.4",97119,6.2,65.1,35.7,13.7,60521,48.6,51.4,2.8,21.1,24.8,91.9,1
"Hopkins","TX","21.0",76340,4.5,60.9,31.8,19.5,36666,49.3,50.7,1.9,24.7,18.1,82.3,7
"Houston","TX","14.3",64371,4.5,54.3,45.5,15.5,22288,54.4,45.6,2.8,19.7,21.6,67.6,24.9
"Howard","TX","13.7",74352,5.4,61.1,32.3,17.3,34620,56.7,43.3,1.5,21.9,12.7,76.8,5.5
"Hudspeth","TX","8.4",38255,7.5,37.9,57.1,21.3,3322,51.1,48.9,1.9,22.7,14.1,46.7,1.4
"Hunt","TX","21.3",78773,5.4,60.5,34.7,16.2,98783,49.2,50.8,1.7,24.1,15.8,77.7,7.4
"Hutchinson","TX","16.6",72615,7.3,63.2,29.9,18.5,20801,51.1,48.9,2.5,25.7,16.8,80.6,2.2
"Irion","TX","18.3",60779,6.9,66.1,28.2,14.6,1555,52,48,3.5,24.8,17.4,69.9,5.5
"Jack","TX","14.8",71196,6.6,58.3,36.8,18.9,8494,55.2,44.8,1.3,22,17.3,90.1,4.3
"Jackson","TX","15.5",74270,4.3,64.5,33.8,16.2,14971,48.4,51.6,2,25.8,18,81.2,7.5
"Jasper","TX","13.1",69798,13.7,51.3,42.1,19.3,33369,49.4,50.6,2.2,23.9,20.1,75.8,15.5
"Jeff Davis","TX","27.2",56624,0,48.2,47.4,20.9,2021,53.3,46.7,0.9,17.8,36.9,90.9,1.8
"Jefferson","TX","19.1",75702,5.6,54.8,33.8,21,256755,51.4,48.6,1.8,24.3,14.3,51,33.4
"Jim Hogg","TX","13.2",52084,4.3,45.6,38.6,23.6,4864,50.3,49.7,1.7,31.7,12.9,82.9,0.3
"Jim Wells","TX","15.6",66136,4.3,51.1,38.2,19.1,39203,49.9,50.1,1.9,27.5,15.5,90.5,0.8
"Johnson","TX","20.5",86582,3.3,65.8,25.5,16.3,177022,50.2,49.8,0.9,26.1,13.9,85.6,4.4
"Jones","TX","12.1",67030,5.8,60.3,38.4,16.9,19721,62.8,37.2,2.3,17.4,15.4,69.7,12.3
"Karnes","TX","15.9",81117,3.3,61.7,33.7,15.9,14823,59.2,40.8,1.6,22.2,14.1,75.1,5.7
"Kaufman","TX","22.2",92809,4.9,68.9,25.7,13.9,140145,49.5,50.5,1.1,28.2,11.5,71.7,13.6
"Kendall","TX","47.5",143027,4.2,75.4,27.6,12.4,43842,49.3,50.7,2.3,23.8,18.8,82.9,0.3
"Kenedy","TX","3.9",47550,0,18.9,63.9,20.7,169,58,42,4.7,39.1,29,84.6,0
"Kent","TX","32.8",75158,0.5,75.3,39.5,2.9,632,53,47,3.3,30.4,33.9,85.1,1.1
"Kerr","TX","29.1",86607,3.7,60.6,41.3,18.2,52411,48.7,51.3,3.8,19.3,27.2,80.4,1.4
"Kimble","TX","28.1",87552,2.1,61.4,39.7,17.8,4295,49.7,50.3,2,18.8,28.4,82.6,1
"King","TX","25.3",53211,4.9,69,19.2,15.7,229,49.8,50.2,0,24.9,7.4,88.6,0
"Kinney","TX","16.7",57668,1.5,46.3,50.5,17.7,3199,60.5,39.5,0.9,15.3,24.9,94.1,0
"Kleberg","TX","23.0",63417,5.4,57.7,37.2,15.1,31015,49.9,50.1,1.3,24.3,13,68.6,3.1
"Knox","TX","14.9",63870,3.6,58.2,36,19.2,3384,50.1,49.9,3,25.4,18.4,77,6.1
"La Salle","TX","7.7",66770,1.5,57.7,28.6,21.1,6956,61.6,38.4,0.8,22.7,15,65.2,2.1
"Lamar","TX","19.5",65091,3.3,56.7,38.2,17.8,49932,48.7,51.3,2.1,24,19,78.6,13.4
"Lamb","TX","12.6",63261,3.1,52.2,34.4,23.6,13147,50.2,49.8,3,27.9,16.9,80.6,3.4
"Lampasas","TX","18.2",79634,6.7,67.1,42.6,15,21443,50.2,49.8,1.9,21.6,20.2,82.2,3.7
"Lavaca","TX","17.9",79112,3.2,71.3,32.6,11.4,20287,48.4,51.6,3.3,23.9,23.4,78.3,6
"Lee","TX","14.3",70328,2.8,63.5,34.2,16.5,17393,48.6,51.4,1.8,21.9,19.5,79.6,11.1
"Leon","TX","17.2",75611,6.3,60.4,40,18.1,15877,49.5,50.5,3.3,23.2,24.2,84.8,6.2
"Liberty","TX","9.9",71504,8.1,50.3,32.7,24,89948,49.6,50.4,0.8,27.3,12.6,71.8,9
"Limestone","TX","15.7",64051,4.3,54.4,40.3,18.7,22252,51.7,48.3,2.2,22.4,19.2,69.2,16.9
"Lipscomb","TX","25.5",86306,5.9,65.9,28,18.7,3138,45.6,54.4,1.3,30.8,15.9,75.3,1.1
"Live Oak","TX","12.8",67041,3.6,57.7,37.5,15,11378,53.3,46.7,2.3,20.3,19.3,91.7,2.3
"Llano","TX","30.8",102152,4.2,62.3,48.8,15.9,21246,48.6,51.4,3.5,16.2,36.4,90.2,0.6
"Loving","TX","0.0",140385,0,98.8,31.3,0,83,50.6,49.4,12,37.3,31.3,98.8,0
"Lubbock","TX","32.1",78764,4.4,68,28.7,13.4,308580,49.4,50.6,1.4,24,12.4,74.1,7.3
"Lynn","TX","23.1",74287,3.3,65.3,32.5,14.6,5587,51.9,48.1,2.6,27.6,15.9,76.3,1
"Madison","TX","11.8",69999,7.3,60.7,36.8,15.5,13579,56.7,43.3,1.5,21.7,15.1,71.3,16.1
"Marion","TX","15.3",63113,11.7,58.3,48,12.2,9748,49.1,50.9,2,18.6,26.3,72.2,22.5
"Martin","TX","21.0",92309,5.7,70,27.4,10.5,5213,51.1,48.9,0.9,32.1,11.6,83.5,0.5
"Mason","TX","34.9",92366,3.5,75.6,34.6,12.6,3948,49.4,50.6,2.9,22.5,29.5,85.9,0
"Matagorda","TX","19.8",65165,6.3,55.7,37.4,18.4,36323,50.5,49.5,2,26.2,16.8,62.5,10.1
"Maverick","TX","16.0",59213,7,40.2,34.5,28.7,57769,49.9,50.1,0.8,31.3,11.6,67.3,0.4
"McCulloch","TX","14.0",59867,7.7,55.9,38.3,19.7,7676,52,48,2.9,22.3,22,79.2,1
"McLennan","TX","26.3",75724,4.7,65.4,32.2,14,258031,49,51,1.8,24.7,14.4,71.9,14.3
"McMullen","TX","15.4",88725,3.4,52,34,24.1,729,48.4,51.6,2.6,28,13,83.3,0
"Medina","TX","22.6",87125,3,67.5,34.3,13.9,50458,51.7,48.3,2.3,23.1,16.8,78.5,2.5
"Menard","TX","27.2",58475,8.6,45.2,48.6,26.7,1981,49.8,50.2,3.3,18.8,34.2,78.7,0.1
"Midland","TX","28.8",115581,3.3,69.8,21.1,16.2,166964,50.8,49.2,1.5,29,10.1,73.3,6.4
"Milam","TX","16.2",74425,6.3,59.4,38.1,15,24895,49.8,50.2,2.1,23.9,20.7,80.7,9.8
"Mills","TX","24.7",74599,2.4,68.1,39.4,16.4,4520,49.9,50.1,3.9,19.4,27.3,84.6,0.5
"Mitchell","TX","9.9",73538,2,52.7,42.1,17.4,8903,60.6,39.4,2.3,22.1,15.9,78.2,6.6
"Montague","TX","17.5",75587,7,61,38.8,15.3,19850,48.6,51.4,2.2,23.1,21.3,92.4,0.7
"Montgomery","TX","36.4",123632,4.6,69.8,24.2,14.7,607999,49.7,50.3,1.3,26.3,13.1,78.9,5.4
"Moore","TX","12.9",69455,2,63.7,23.3,19.9,21494,52.4,47.6,1.7,31.9,11.2,69.8,3.9
"Morris","TX","12.9",60259,5.7,62.2,42,11.5,11988,47.2,52.8,2.3,23.4,21.4,69,22.3
"Motley","TX","21.6",72755,3.6,51.6,50.7,19.3,1269,54.5,45.5,2.1,22,27.4,85.8,1.2
"Nacogdoches","TX","24.7",71652,7.4,58.9,33.7,16.6,64822,48.2,51.8,1.4,23.4,14.8,69.7,18.4
"Navarro","TX","16.6",69653,5.1,54.3,35.3,19.6,51908,49.5,50.5,2,26.4,16.8,69.4,11.2
"Newton","TX","8.3",56778,10.4,51.4,39.5,21.6,12532,52.1,47.9,2.4,21.3,20.8,74.2,20.5
"Nolan","TX","16.3",66848,8,56.3,37,17.6,14727,51.4,48.6,2.7,26.1,18.3,80.8,4.9
"Nueces","TX","21.9",78993,6,56.7,33.9,18.4,353594,49.7,50.3,1.7,24.6,14.5,72.3,3.6
"Ochiltree","TX","18.8",75838,1.9,58.1,27.6,21.8,10063,50.2,49.8,1.8,31.1,10.5,76.4,0.8
"Oldham","TX","23.8",90065,1.5,77.7,23.1,9.8,2251,60,40,1.6,35.1,12.2,88,4.6
"Orange","TX","16.8",89734,5.4,61.5,31.7,16.6,85045,49.8,50.2,1.7,25.2,15.6,83.7,8.7
"Palo Pinto","TX","17.5",75698,6.9,56.8,38.6,18.3,28303,49.2,50.8,2.4,23.6,19.6,87.9,2.5
"Panola","TX","13.5",76003,2.8,51.9,39.6,19.3,22583,49.5,50.5,2.1,23.4,19.7,78,13.1
"Parker","TX","28.9",109344,4.3,71.9,25.2,13.8,144803,50.1,49.9,1.3,24.9,15.4,89.4,1.6
"Parmer","TX","18.0",79359,2.2,57.9,31.4,21.2,9874,51.5,48.5,0.9,28.4,14.5,78.1,1
"Pecos","TX","11.5",78201,1.3,63.9,29.1,18.5,15202,57.4,42.6,1,24.9,12.6,73.5,3.9
"Polk","TX","13.1",68244,9.5,55.2,41.6,17.7,49372,54.1,45.9,1.3,20.3,18.5,79.9,9
"Potter","TX","15.8",65239,3.6,55.1,31.2,21.8,119043,51.7,48.3,1.7,27.5,12.6,72.1,10.2
"Presidio","TX","17.8",47893,7.8,37.1,38.2,29.3,6328,51,49,1.1,26.8,21.4,69.6,0
"Rains","TX","18.8",83694,3.9,60.5,37.1,17.6,12013,50.2,49.8,1.4,19.2,23.8,92.1,2.8
"Randall","TX","32.2",91920,3.2,75,26.9,9.7,139176,49.4,50.6,1.5,24.2,15.1,83.7,3.3
"Reagan","TX","13.7",76750,6.4,64.9,20,19,3363,55.8,44.2,0.9,32.1,9.9,50.9,2.5
"Real","TX","16.0",68459,1.4,43.6,57.8,22.5,2852,46,54,3,23.4,32.2,95.8,1.4
"Red River","TX","14.7",53480,4.3,51.4,47.8,16.1,11685,47.7,52.3,1.2,20.2,24.7,78.4,14.7
"Reeves","TX","9.5",73333,6.5,55.6,30.4,19.7,14584,61.7,38.3,2.1,22.8,12.2,68,2.2
"Refugio","TX","10.4",62271,5.6,49.9,44.3,16.5,6822,48.9,51.1,2.9,23.1,22.3,76.1,7
"Roberts","TX","25.9",77135,0,70.6,33.6,16.2,724,53.9,46.1,5.4,17.4,24.6,95.9,0
"Robertson","TX","17.8",71637,9.4,61.1,40,13.6,16839,49.7,50.3,3.4,24,19.9,70.5,20.5
"Rockwall","TX","43.8",141727,3.6,79.6,20.8,8.8,105227,49.7,50.3,1.2,27,12.2,77.4,7.2
"Runnels","TX","17.6",68815,2,64.9,34.9,13.3,9887,49.8,50.2,2.5,23.8,20.7,84.2,2.7
"Rusk","TX","16.0",80079,6.1,61.5,35,15.4,52542,54,46,2.1,22.4,16.3,73.1,16.4
"Sabine","TX","18.5",71698,10.2,57.8,50.2,13.7,9974,48.7,51.3,3,18.5,30.2,88.2,5.5
"San Augustine","TX","12.1",54598,11.4,50.7,48.6,18.9,7964,49.2,50.8,3.1,20,27.5,71.7,22.4
"San Jacinto","TX","14.3",67919,7.7,50.4,42.7,19.6,27380,49.7,50.3,2,21.6,21.7,78.2,9.5
"San Patricio","TX","16.6",80121,4.3,56.2,35.3,16.5,68600,50.9,49.1,1.6,26.8,14.8,80.9,2
"San Saba","TX","17.0",63141,3.4,50.5,45.9,23.1,5775,52.2,47.8,3.2,20.1,23.5,81.6,1.8
"Schleicher","TX","16.8",67772,16.4,60.6,28.2,25.8,2547,50.5,49.5,2,25.4,22.7,62.8,1.2
"Scurry","TX","15.8",72953,2.9,58.6,29.9,20.6,16985,55.4,44.6,1.3,24.7,15,79.2,4.3
"Shackelford","TX","32.8",77181,7.2,71.7,34.2,11.7,3145,50.7,49.3,2.9,23.2,19.8,93.2,0.2
"Shelby","TX","14.2",63984,6,49.5,39.7,20.6,24254,49.8,50.2,1.6,26.5,17.3,73,18.6
"Sherman","TX","20.2",111110,1.8,64.3,30.2,17.1,2357,47.5,52.5,1.8,21,16.5,79.1,0.1
"Smith","TX","28.0",84435,4.9,62.1,32.9,17.2,231429,48.5,51.5,1.9,24.6,16.5,74.2,17
"Somervell","TX","28.2",95582,5.4,69.1,30.7,14.3,9170,49.7,50.3,3,22,18.8,82.4,2.1
